일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2019/08/09,54600,-5900,-9.75,60500,68900,53900,324642,18920703800,230767555200,4226512
2019/08/12,53600,-1000,-1.83,54400,56200,53000,166709,9073758600,226541043200,4226512
2019/08/13,51800,-1800,-3.36,52600,53200,51400,163852,8521952300,218933321600,4226512
2019/08/14,51900,100,0.19,52400,52900,51900,95402,4986014100,219355972800,4226512
2019/08/16,51100,-800,-1.54,51200,51800,50000,63207,3228829200,215974763200,4226512
2019/08/19,52500,1400,2.74,51700,54100,51400,82918,4394195800,221891880000,4226512
2019/08/20,53800,1300,2.48,53200,53800,52500,37312,1989512100,227386345600,4226512
2019/08/21,55000,1200,2.23,53800,56000,53200,41778,2282474500,232458160000,4226512
2019/08/22,56400,1400,2.55,55000,56700,55000,27663,1549348100,238375276800,4226512
2019/08/23,56100,-300,-0.53,55900,56600,55300,23459,1316778300,237107323200,4226512
2019/08/26,54700,-1400,-2.50,55000,55600,54400,15880,873304200,231190206400,4226512
2019/08/27,53700,-1000,-1.83,54600,55400,53700,29742,1614956900,226963694400,4226512
2019/08/28,54900,1200,2.23,53800,55000,53800,19888,1083006700,232035508800,4226512
2019/08/29,55100,200,0.36,54900,56000,54900,24045,1333181500,232880811200,4226512
2019/08/30,56000,900,1.63,55900,56900,55300,43353,2440311600,236684672000,4226512
2019/09/02,55900,-100,-0.18,55600,56700,55600,21667,1216370600,236262020800,4226512
2019/09/03,56100,200,0.36,55700,56600,55600,16112,906563100,237107323200,4226512
2019/09/04,56700,600,1.07,56200,56900,56000,20227,1137586900,239643230400,4226512
2019/09/05,57100,400,0.71,56500,57900,56500,25974,1488152900,241333835200,4226512
2019/09/06,56400,-700,-1.23,57000,57200,55800,19068,1075060900,238375276800,4226512
2019/09/09,56500,100,0.18,56100,56900,56100,19077,1075532500,238797928000,4226512
2019/09/10,56900,400,0.71,56200,57100,56200,23658,1342588100,240488532800,4226512
2019/09/11,57300,400,0.70,56900,57900,56900,23952,1373323000,242179137600,4226512
2019/09/16,59200,1900,3.32,57300,59500,57300,36697,2158905800,250209510400,4226512
2019/09/17,59600,400,0.68,59100,59600,58400,15415,910352000,251900115200,4226512
2019/09/18,61400,1800,3.02,59800,61800,59600,42333,2586238000,259507836800,4226512
2019/09/19,60400,-1000,-1.63,61100,61600,59900,27465,1657954100,255281324800,4226512
2019/09/20,59600,-800,-1.32,60000,60600,59600,18050,1081064700,251900115200,4226512
2019/09/23,60200,600,1.01,59600,60500,59600,9996,600123100,254436022400,4226512
2019/09/24,60800,600,1.00,60200,61100,60100,13232,801002000,256971929600,4226512
2019/09/25,60300,-500,-0.82,60500,61200,59800,19400,1169299200,254858673600,4226512
2019/09/26,60800,500,0.83,60300,60900,59900,12373,747025000,256971929600,4226512
2019/09/27,60000,-800,-1.32,60700,60800,59600,5727,344100600,253590720000,4226512
2019/09/30,60000,0,0.00,59800,60300,59200,7029,419483600,253590720000,4226512
2019/10/01,61300,1300,2.17,59200,61500,59200,16144,982327000,259085185600,4226512
2019/10/02,59300,-2000,-3.26,60300,61000,58400,15671,927203000,250632161600,4226512
2019/10/04,56700,-2600,-4.38,59300,59300,56700,25903,1496479000,239643230400,4226512
2019/10/07,57300,600,1.06,56700,57700,56600,10459,598572900,242179137600,4226512
2019/10/08,58500,1200,2.09,56400,58600,56400,11961,692902800,247250952000,4226512
2019/10/10,57700,-800,-1.37,58700,58700,57300,9018,519190300,243869742400,4226512
2019/10/11,59200,1500,2.60,58000,59200,57700,9796,575150300,250209510400,4226512
2019/10/14,60800,1600,2.70,59400,60800,59400,14460,869993000,256971929600,4226512
2019/10/15,60800,0,0.00,60800,61000,59900,12311,746028500,256971929600,4226512
2019/10/16,61300,500,0.82,60900,61300,60400,7863,480146200,259085185600,4226512
2019/10/17,60900,-400,-0.65,61300,61300,60300,6500,394892600,257394580800,4226512
2019/10/18,61200,300,0.49,61200,61800,60000,18421,1124953700,258662534400,4226512
2019/10/21,61000,-200,-0.33,61200,61200,60300,8771,531774300,257817232000,4226512
2019/10/22,60500,-500,-0.82,61000,61700,60300,6851,416502100,255703976000,4226512
2019/10/23,59800,-700,-1.16,61000,61000,58900,8486,504473700,252745417600,4226512
2019/10/24,60500,700,1.17,60100,60500,58800,9073,539197700,255703976000,4226512
2019/10/25,60700,200,0.33,60200,60700,59700,5722,345212600,256549278400,4226512
2019/10/28,60700,0,0.00,60700,60900,59600,12668,768667500,256549278400,4226512
2019/10/29,61000,300,0.49,60500,61300,60400,8600,523796100,257817232000,4226512
2019/10/30,60300,-700,-1.15,60400,61000,60100,8427,507887800,254858673600,4226512
2019/10/31,60900,600,1.00,59900,61100,59900,14454,873324800,257394580800,4226512
2019/11/01,62100,1200,1.97,60900,62300,60100,16976,1042903800,262466395200,4226512
2019/11/04,64500,2400,3.86,62400,64600,62400,24806,1585326100,272610024000,4226512
2019/11/05,66800,2300,3.57,64700,66800,64000,18768,1229987700,282331001600,4226512
2019/11/06,66500,-300,-0.45,66900,67200,65500,11742,773962100,281063048000,4226512
2019/11/07,66900,400,0.60,66500,66900,65800,7704,512080000,282753652800,4226512
2019/11/08,66200,-700,-1.05,66900,66900,65500,8895,586103800,279795094400,4226512
2019/11/11,65000,-1200,-1.81,65900,66200,64300,5303,344382200,274723280000,4226512
2019/11/12,67600,2600,4.00,65000,68000,65000,18753,1261888500,285712211200,4226512
2019/11/13,66700,-900,-1.33,67600,67600,66200,6104,406245500,281908350400,4226512
2019/11/14,67100,400,0.60,66100,67100,66000,5527,367441400,283598955200,4226512
2019/11/15,67400,300,0.45,67100,68000,66500,7032,474575100,284866908800,4226512
2019/11/18,67700,300,0.45,67400,67700,66300,9536,636880900,286134862400,4226512
2019/11/19,66800,-900,-1.33,67100,67500,66200,5721,382452800,282331001600,4226512
2019/11/20,66200,-600,-0.90,66300,67000,65000,12392,814378000,279795094400,4226512
2019/11/21,64500,-1700,-2.57,66200,66200,63700,18465,1187125000,272610024000,4226512
2019/11/22,66200,1700,2.64,63700,66400,63700,17832,1176291200,279795094400,4226512
2019/11/25,67000,800,1.21,66200,67000,66200,7024,468398600,283176304000,4226512
2019/11/26,66700,-300,-0.45,66800,67000,66200,16069,1071343700,281908350400,4226512
2019/11/27,66400,-300,-0.45,66700,67200,66200,6192,413236600,280640396800,4226512
2019/11/28,66700,300,0.45,66500,66800,66000,2370,157325800,281908350400,4226512
2019/11/29,66600,-100,-0.15,66200,66800,65500,3977,263305400,281485699200,4226512
2019/12/02,66900,300,0.45,66800,66900,66400,5968,397716900,282753652800,4226512
2019/12/03,66500,-400,-0.60,66600,66900,65300,10794,713810400,281063048000,4226512
2019/12/04,66300,-200,-0.30,65500,66300,65500,4934,324834000,280217745600,4226512
2019/12/05,65400,-900,-1.36,66300,66800,64400,6511,423690400,276413884800,4226512
2019/12/06,65800,400,0.61,66000,66000,64900,2749,179350000,278104489600,4226512
2019/12/09,65400,-400,-0.61,65800,65900,62000,5149,333745500,276413884800,4226512
2019/12/10,69700,4300,6.57,65800,69800,65600,26959,1828974300,294587886400,4226512
2019/12/11,69800,100,0.14,69200,69800,68700,8834,613363000,295010537600,4226512
2019/12/12,69800,0,0.00,69900,70200,69000,10880,758129400,295010537600,4226512
2019/12/13,70000,200,0.29,70100,70100,68900,9387,654464600,295855840000,4226512
2019/12/16,69900,-100,-0.14,69800,70000,69400,5531,385706900,295433188800,4226512
2019/12/17,70800,900,1.29,69800,70800,69400,8801,616937200,299237049600,4226512
2019/12/18,70200,-600,-0.85,70300,70900,69600,12897,905845000,296701142400,4226512
2019/12/19,71000,800,1.14,69500,71000,69500,7370,518394900,300082352000,4226512
2019/12/20,71000,0,0.00,71000,71200,70300,9544,675335400,300082352000,4226512
