일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2015/08/21,7100,920,14.89,6180,7300,5600,1994022,64841739950,332438294500,9364459
2015/08/24,6480,-620,-8.73,6700,6940,6240,392831,12926256800,303408471600,9364459
2015/08/25,6220,-260,-4.01,6610,6730,6190,242730,7808534250,291234674900,9364459
2015/08/26,7090,870,13.99,6260,7760,6260,703721,25144972800,331970071550,9364459
2015/08/27,7570,480,6.77,7240,8060,6960,499913,18764860300,354444773150,9364459
2015/08/28,7140,-430,-5.68,7660,7840,7090,191315,7088603600,334311186300,9364459
2015/08/31,6700,-440,-6.16,7260,7260,6610,203023,6911408900,313709376500,9364459
2015/09/01,6650,-50,-0.75,6840,7050,6640,149519,5137381200,311368261750,9364459
2015/09/02,7220,570,8.57,6520,7330,6400,160592,5569432900,338056969900,9364459
2015/09/03,7580,360,4.99,7230,7790,7060,135862,5091580300,354912996100,9364459
2015/09/04,7320,-260,-3.43,7660,7760,7070,73376,2691882250,342739199400,9364459
2015/09/07,7290,-30,-0.41,7220,7520,7070,60538,2196835750,341334530550,9364459
2015/09/08,6960,-330,-4.53,7350,7440,6760,53417,1872558250,325883173200,9364459
2015/09/09,7160,200,2.87,7100,7240,6850,42730,1508194400,335247632200,9364459
2015/09/10,6930,-230,-3.21,7130,7130,6790,55167,1911093750,324478504350,9364459
2015/09/11,7070,140,2.02,6980,7220,6810,42340,1485466800,331033625650,9364459
2015/09/14,6890,-180,-2.55,7110,7170,6890,37538,1311280500,322605612550,9364459
2015/09/15,7520,630,9.14,6890,7540,6760,146439,5331914300,352103658400,9364459
2015/09/16,7630,110,1.46,7570,7710,7320,50323,1894994300,357254110850,9364459
2015/09/17,7770,140,1.83,7640,7990,7500,92741,3613753400,363809232150,9364459
2015/09/18,7970,200,2.57,7770,8330,7630,106905,4265087900,373173691150,9364459
2015/09/21,8010,40,0.50,7780,8130,7780,40582,1625053100,375046582950,9364459
2015/09/22,7690,-320,-4.00,8010,8100,7510,76228,2962379150,360063448550,9364459
2015/09/23,7750,60,0.78,7620,8020,7580,69795,2718843350,362872786250,9364459
2015/09/24,8400,650,8.39,7780,8420,7670,109989,4519578600,393307278000,9364459
2015/09/25,8490,90,1.07,8450,8580,8170,60924,2559059550,397521284550,9364459
2015/09/30,8770,280,3.30,8350,8880,8330,75184,3270947400,410631527150,9364459
2015/10/01,8550,-220,-2.51,8790,8870,8550,51739,2246974800,400330622250,9364459
2015/10/02,8600,50,0.58,8420,8640,8340,51291,2174674700,402671737000,9364459
2015/10/05,8720,120,1.40,8660,8820,8440,33538,1454758600,408290412400,9364459
2015/10/06,8600,-120,-1.38,8760,8790,8470,17304,744223100,402671737000,9364459
2015/10/07,8600,0,0.00,8600,8700,8310,19893,847842900,402671737000,9364459
2015/10/08,8390,-210,-2.44,8600,8700,8350,21960,938332700,392839055050,9364459
2015/10/12,8600,210,2.50,8360,8670,8110,20117,848768650,402671737000,9364459
2015/10/13,8880,280,3.26,8600,9050,8570,47399,2095849000,415781979600,9364459
2015/10/14,9610,730,8.22,9020,9700,8880,66319,3073325300,449962254950,9364459
2015/10/15,9590,-20,-0.21,9590,10380,9080,143753,7006306300,449025809050,9364459
2015/10/16,9900,310,3.23,9590,10040,9320,53851,2608523950,463540720500,9364459
2015/10/19,9800,-100,-1.01,9910,10080,9600,40006,1955199650,458858491000,9364459
2015/10/20,10020,220,2.24,9940,10260,9780,36630,1824349950,469159395900,9364459
2015/10/21,9880,-140,-1.40,10080,10080,9700,30032,1473692150,462604274600,9364459
2015/10/22,9680,-200,-2.02,9700,9880,9430,33181,1596851650,453239815600,9364459
2015/10/23,9460,-220,-2.27,9680,9800,9430,25823,1233119750,442938910700,9364459
2015/10/26,9480,20,0.21,9600,9600,9100,29412,1369094100,443875356600,9364459
2015/10/27,9400,-80,-0.84,9250,9480,9220,24219,1126969050,440129573000,9364459
2015/10/28,9790,390,4.15,9220,9790,9210,35738,1715287700,458390268050,9364459
