,종목명,시가,고가,저가,종가,거래량,거래대금,BPS,PER,PBR,EPS,DIV,DPS
095570,AJ네트웍스,39400,39700,38100,38550,16920,655079300,23715.0,14.11,1.6254190385831753,2732.0,0.0,0.0
068400,AJ렌터카,11650,11850,11550,11850,129099,1515992800,9426.0,13.78,1.2573599618077658,860.0,0.0,0.0
006840,AK홀딩스,61900,62800,61000,61100,79225,4863754400,42221.0,11.01,1.4467291528504773,5549.0,0.57,350.0
027410,BGF리테일,181000,190000,180000,185000,64652,12107384000,22686.0,43.66,8.155478599136032,4238.0,0.32,600.0
138930,BNK금융지주,9180,9660,9170,9620,2377857,22313223410,19542.0,2.63,0.49286542686905127,3661.0,2.08,200.0
001460,BYC,490000,491000,485000,488500,984,478449000,434980.0,16.16,1.122483864200653,30221.0,0.16,800.0
001465,BYC우,206000,217000,206000,212000,130,27205500,0.0,0.0,0.0,0.0,0.4,850.0
001040,CJ,202500,203500,196500,196500,147131,29219523500,108643.0,26.64,1.8084424157561922,7375.0,0.48,950.0
079160,CJ CGV,101500,102000,98000,98100,368608,36328314800,18048.0,124.6,5.43439023714539,787.0,0.36,350.0
000120,CJ대한통운,188500,191500,187000,189000,38849,7320741000,98141.0,75.3,1.926150895140665,2510.0,0.0,0.0
011150,CJ씨푸드,3625,3630,3580,3585,101083,363892970,1310.0,39.4,2.7373807251908397,91.0,0.0,0.0
011155,CJ씨푸드1우,16600,16650,16400,16550,1839,30254250,0.0,0.0,0.0,0.0,0.0,0.0
001045,CJ우,99900,99900,97100,98500,5595,550393000,0.0,0.0,0.0,0.0,1.02,1000.0
097950,CJ제일제당,358500,361000,351500,357000,59125,20937970500,206344.0,54.66,1.7296616935796534,6530.0,0.56,2000.0
097955,CJ제일제당 우,206000,207500,203000,204500,2291,469425500,0.0,0.0,0.0,0.0,1.0,2050.0
037560,CJ헬로비전,13150,13900,12900,13900,289656,3898708450,11653.0,41.88,1.1930404187762809,332.0,0.54,75.0
000590,CS홀딩스,78000,78300,77600,78200,2489,193965700,165649.0,12.2,0.47236287270071053,6412.0,0.0,0.0
139130,DGB금융지주,9000,9160,8590,9100,727656,6572906850,21797.0,5.31,0.417439541565353,1714.0,3.52,320.0
004840,DRB동일,13000,13100,12850,12850,55138,713706750,14251.0,5.68,0.9011138472738756,2261.0,0.47,60.0
155660,DSR,4310,4490,4295,4350,94888,414016000,6948.0,10.28,0.6259310233160622,423.0,0.69,30.0
069730,DSR제강,4150,4180,4105,4145,66011,273255290,7555.0,8.18,0.5489214510258107,507.0,0.72,30.0
017940,E1,62500,63100,62400,62500,5202,326458600,166331.0,8.81,0.375958179774065,7096.0,3.2,2000.0
007700,F&F,14100,14350,13950,14100,18553,260898650,12307.0,15.53,1.145882424636386,908.0,1.06,150.0
114090,GKL,26200,27250,26150,27250,389485,10497608400,6974.0,14.46,3.9065681459707484,1884.0,3.68,1002.0
078930,GS,60000,60000,58700,59900,194471,11557317000,62374.0,0.0,0.0,0.0,2.0,1200.0
