일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/01/18","18460","-110","-0.59","18900","18910","18430","953","17709510","39022317100","2113885"
"2024/01/17","18570","-360","-1.90","19000","19000","18520","2560","47640210","39254844450","2113885"
"2024/01/16","18930","-50","-0.26","19280","19280","18650","2022","38169660","40015843050","2113885"
"2024/01/15","18980","-430","-2.22","19540","19540","18940","4225","80921750","40121537300","2113885"
"2024/01/12","19410","-90","-0.46","19640","19640","19300","1998","38771960","41030507850","2113885"
"2024/01/11","19500","50","0.26","19590","19590","19380","2833","55124780","41220757500","2113885"
"2024/01/10","19450","160","0.83","19290","19600","19200","8854","172087450","41115063250","2113885"
"2024/01/09","19290","180","0.94","19140","19290","19040","2845","54593020","40776841650","2113885"
"2024/01/08","19110","50","0.26","19100","19130","18960","2709","51575360","40396342350","2113885"
"2024/01/05","19060","30","0.16","19080","19080","18990","1737","33081740","40290648100","2113885"
"2024/01/04","19030","30","0.16","19000","19110","18940","4520","86049170","40227231550","2113885"
"2024/01/03","19000","30","0.16","18960","19190","18800","4610","87685190","40163815000","2113885"
"2024/01/02","18970","240","1.28","18910","18980","18570","6789","126754840","40100398450","2113885"
"2023/12/28","18730","-60","-0.32","18790","18880","18550","4215","78845520","39593066050","2113885"
"2023/12/27","18790","-420","-2.19","19180","19180","18730","4813","90528920","39719899150","2113885"
"2023/12/26","19210","0","0.00","19110","19260","19050","2622","50240900","40607730850","2113885"
"2023/12/22","19210","40","0.21","19340","19340","19150","675","12987470","40607730850","2113885"
"2023/12/21","19170","-10","-0.05","19230","19250","18870","3702","70727790","40523175450","2113885"
"2023/12/20","19180","30","0.16","19260","19260","19150","2656","50961290","40544314300","2113885"
"2023/12/19","19150","-90","-0.47","19240","19490","19090","5019","96273200","40480897750","2113885"
"2023/12/18","19240","-290","-1.48","19570","19570","19150","4416","84877600","40671147400","2113885"
"2023/12/15","19530","0","0.00","19530","19590","19320","4032","78627790","41284174050","2113885"
"2023/12/14","19530","10","0.05","19400","19690","19310","5055","98574060","41284174050","2113885"
"2023/12/13","19520","-80","-0.41","19650","19680","19500","3001","58805390","41263035200","2113885"
"2023/12/12","19600","260","1.34","19500","19660","19340","3249","63420800","41432146000","2113885"
"2023/12/11","19340","-130","-0.67","19550","19700","19120","6241","120935900","40882535900","2113885"
"2023/12/08","19470","150","0.78","19320","19730","19320","4176","81200700","41157340950","2113885"
"2023/12/07","19320","-140","-0.72","19430","19490","19140","9070","174703930","40840258200","2113885"
"2023/12/06","19460","110","0.57","19350","19680","19290","7375","143580980","41136202100","2113885"
"2023/12/05","19350","-20","-0.10","19370","19390","19110","2815","54261130","40903674750","2113885"
"2023/12/04","19370","220","1.15","19150","19400","19140","4018","77355970","40945952450","2113885"
"2023/12/01","19150","100","0.52","19060","19290","18970","4943","94332530","40480897750","2113885"
"2023/11/30","19050","50","0.26","19000","19050","18950","1845","35041490","40269509250","2113885"
"2023/11/29","19000","10","0.05","19100","19100","18890","1065","20200470","40163815000","2113885"
"2023/11/28","18990","60","0.32","18830","19100","18730","5343","100995210","40142676150","2113885"
"2023/11/27","18930","30","0.16","18900","19160","18800","4524","85691190","40015843050","2113885"
"2023/11/24","18900","300","1.61","18700","19000","18570","7471","140409160","39952426500","2113885"
"2023/11/23","18600","50","0.27","18600","18720","18480","3349","62243950","39318261000","2113885"
"2023/11/22","18550","10","0.05","18590","18590","18450","1854","34363230","39212566750","2113885"
"2023/11/21","18540","140","0.76","18450","18710","18200","7080","130858300","39191427900","2113885"
"2023/11/20","18400","-30","-0.16","18380","18490","18220","4248","78017970","38895484000","2113885"
"2023/11/17","18430","-50","-0.27","18400","18500","18270","2583","47551700","38958900550","2113885"
"2023/11/16","18480","-20","-0.11","18400","18660","17390","5836","106797860","39064594800","2113885"
"2023/11/15","18500","40","0.22","18460","18590","18360","7439","137433550","39106872500","2113885"
"2023/11/14","18460","-70","-0.38","18530","18580","18420","1432","26475560","39022317100","2113885"
"2023/11/13","18530","-100","-0.54","18630","18700","18420","3978","73831880","39170289050","2113885"
"2023/11/10","18630","30","0.16","18460","18650","18330","2505","46573010","39381677550","2113885"
"2023/11/09","18600","170","0.92","18430","18650","18250","8479","157089760","39318261000","2113885"
"2023/11/08","18430","330","1.82","18220","18560","17900","5214","95142370","38958900550","2113885"
"2023/11/07","18100","50","0.28","18000","18130","17910","3648","65697170","38261318500","2113885"
"2023/11/06","18050","120","0.67","18000","18070","17880","3360","60335690","38155624250","2113885"
"2023/11/03","17930","210","1.19","17790","17950","17750","6934","123621080","37901958050","2113885"
"2023/11/02","17720","-30","-0.17","17670","17800","17670","2881","51167180","37458042200","2113885"
"2023/11/01","17750","10","0.06","17930","17930","17600","3854","68420130","37521458750","2113885"
"2023/10/31","17740","20","0.11","17430","17960","17430","3588","63676060","37500319900","2113885"
"2023/10/30","17720","-70","-0.39","17500","17900","17500","4090","72420940","37458042200","2113885"
"2023/10/27","17790","100","0.57","17960","17960","17450","8310","147695570","37606014150","2113885"
"2023/10/26","17690","-340","-1.89","18000","18000","17500","5387","95596180","37394625650","2113885"
"2023/10/25","18030","260","1.46","18060","18060","17770","3667","65657430","38113346550","2113885"
"2023/10/24","17770","120","0.68","17700","17780","17520","1746","30793890","37563736450","2113885"
"2023/10/23","17650","-260","-1.45","17910","17980","17620","2413","42763030","37310070250","2113885"
"2023/10/20","17910","180","1.02","17650","17970","17580","8164","144820440","37859680350","2113885"
"2023/10/19","17730","130","0.74","17620","17810","17420","5827","102835030","37479181050","2113885"
"2023/10/18","17600","-10","-0.06","17600","17680","17510","3075","54346160","37204376000","2113885"
"2023/10/17","17610","180","1.03","17440","17620","17110","4940","86125430","37225514850","2113885"
"2023/10/16","17430","-70","-0.40","17480","17480","17190","2620","45452550","36845015550","2113885"
"2023/10/13","17500","10","0.06","17780","17780","17050","2492","42844170","36992987500","2113885"
"2023/10/12","17490","180","1.04","17300","17540","17180","4097","71210630","36971848650","2113885"
"2023/10/11","17310","50","0.29","17400","17400","17260","1212","20973090","36591349350","2113885"
"2023/10/10","17260","-510","-2.87","17700","17700","17260","3822","66374730","36485655100","2113885"
"2023/10/06","17770","270","1.54","17500","17770","17310","912","15824810","37563736450","2113885"
"2023/10/05","17500","10","0.06","17850","17850","17200","3267","56642460","36992987500","2113885"
"2023/10/04","17490","-270","-1.52","17750","17750","17410","5708","100208720","36971848650","2113885"
"2023/09/27","17760","300","1.72","17280","17880","17250","6053","105905280","37542597600","2113885"
"2023/09/26","17460","-80","-0.46","17800","17800","17460","1369","23957430","36908432100","2113885"
"2023/09/25","17540","-140","-0.79","17250","17980","17250","4030","70572860","37077542900","2113885"
"2023/09/22","17680","-70","-0.39","17780","17780","17620","2519","44464540","37373486800","2113885"
"2023/09/21","17750","-110","-0.62","17890","17890","17590","3120","55208600","37521458750","2113885"
"2023/09/20","17860","30","0.17","17910","17910","17680","2581","45823820","37753986100","2113885"
"2023/09/19","17830","-20","-0.11","17850","18020","17600","5972","105791020","37690569550","2113885"
"2023/09/18","17850","-120","-0.67","18080","18100","17000","11836","210942070","37732847250","2113885"
"2023/09/15","17970","30","0.17","18140","18140","17820","11515","206903360","37986513450","2113885"
"2023/09/14","17940","90","0.50","18190","18190","17800","7870","141469060","37923096900","2113885"
"2023/09/13","17850","-50","-0.28","17730","17910","17730","1708","30464230","37732847250","2113885"
"2023/09/12","17900","-40","-0.22","18050","18050","17800","4687","83962240","37838541500","2113885"
"2023/09/11","17940","-50","-0.28","17980","18000","17700","4532","80667490","37923096900","2113885"
"2023/09/08","17990","-10","-0.06","18070","18070","17830","1792","32144120","38028791150","2113885"
"2023/09/07","18000","-50","-0.28","18000","18000","17720","5240","93513970","38049930000","2113885"
"2023/09/06","18050","-30","-0.17","18250","18250","17850","3004","53834870","38155624250","2113885"
"2023/09/05","18080","-220","-1.20","18330","18330","17920","4182","75384650","38219040800","2113885"
"2023/09/04","18300","170","0.94","18010","18300","17900","3678","66165400","38684095500","2113885"
"2023/09/01","18130","10","0.06","18180","18230","17960","2148","38965950","38324735050","2113885"
"2023/08/31","18120","-100","-0.55","18570","18570","17770","2327","41972280","38303596200","2113885"
"2023/08/30","18220","-10","-0.05","18490","18490","18100","1706","31058510","38514984700","2113885"
"2023/08/29","18230","80","0.44","18440","18440","18140","2520","45900900","38536123550","2113885"
"2023/08/28","18150","350","1.97","17800","18490","17800","2287","41146260","38367012750","2113885"
"2023/08/25","17800","-10","-0.06","17800","17990","17740","3020","53768780","37627153000","2113885"
"2023/08/24","17810","-90","-0.50","18250","18250","17770","4054","72179810","37648291850","2113885"
"2023/08/23","17900","-100","-0.56","18680","18680","17890","2010","36118920","37838541500","2113885"
"2023/08/22","18000","-220","-1.21","18710","18710","17860","3280","58894910","38049930000","2113885"
"2023/08/21","18220","-190","-1.03","18700","18700","17880","4083","73993410","38514984700","2113885"
"2023/08/18","18410","-20","-0.11","18420","18430","18090","1995","36162030","38916622850","2113885"
