일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/01/18","3820","-35","-0.91","3850","3880","3820","300124","1150686065","1031906833780","270132679"
"2024/01/17","3855","-40","-1.03","3890","3915","3835","221384","852949875","1041361477545","270132679"
"2024/01/16","3895","-5","-0.13","3900","3900","3870","185831","720988845","1052166784705","270132679"
"2024/01/15","3900","10","0.26","3905","3910","3875","230938","898339390","1053517448100","270132679"
"2024/01/12","3890","-15","-0.38","3915","3925","3885","223861","873293825","1050816121310","270132679"
"2024/01/11","3905","-15","-0.38","3920","3950","3900","215590","844180405","1054868111495","270132679"
"2024/01/10","3920","-10","-0.25","3930","3945","3905","209364","820146505","1058920101680","270132679"
"2024/01/09","3930","-20","-0.51","3950","3965","3925","246214","968700680","1061621428470","270132679"
"2024/01/08","3950","-15","-0.38","3970","3995","3945","248169","983868655","1067024082050","270132679"
"2024/01/05","3965","-5","-0.13","3965","3980","3915","278021","1095599485","1071076072235","270132679"
"2024/01/04","3970","0","0.00","3965","3980","3945","196854","780621410","1072426735630","270132679"
"2024/01/03","3970","0","0.00","3960","3970","3940","282779","1120193560","1072426735630","270132679"
"2024/01/02","3970","-10","-0.25","3980","4030","3950","461890","1837181220","1072426735630","270132679"
"2023/12/28","3980","10","0.25","3970","3980","3940","268463","1062579585","1075128062420","270132679"
"2023/12/27","3970","10","0.25","3950","3970","3920","286731","1132585200","1072426735630","270132679"
"2023/12/26","3960","40","1.02","3925","3975","3920","423427","1674212790","1069725408840","270132679"
"2023/12/22","3920","30","0.77","3895","3935","3880","358160","1399345370","1058920101680","270132679"
"2023/12/21","3890","5","0.13","3870","3895","3850","266319","1031703415","1050816121310","270132679"
"2023/12/20","3885","25","0.65","3870","3890","3850","327180","1268620145","1049465457915","270132679"
"2023/12/19","3860","-35","-0.90","3900","3900","3820","598075","2296315545","1042712140940","270132679"
"2023/12/18","3895","-115","-2.87","4010","4010","3895","823983","3249568665","1052166784705","270132679"
"2023/12/15","4010","30","0.75","3990","4045","3970","2598834","10427147205","1083232042790","270132679"
"2023/12/14","3980","10","0.25","3990","4000","3955","617271","2458373295","1075128062420","270132679"
"2023/12/13","3970","-5","-0.13","3965","3980","3960","254626","1011409205","1072426735630","270132679"
"2023/12/12","3975","-25","-0.63","4000","4000","3960","363163","1445262535","1073777399025","270132679"
"2023/12/11","4000","5","0.13","3995","4000","3985","474880","1868009740","1080530716000","270132679"
"2023/12/08","3995","5","0.13","3990","4005","3980","864722","3396039545","1079180052605","270132679"
"2023/12/07","3990","-20","-0.50","4010","4010","3985","441363","1763333720","1077829389210","270132679"
"2023/12/06","4010","0","0.00","4020","4030","3995","471633","1890872305","1083232042790","270132679"
"2023/12/05","4010","0","0.00","3995","4050","3995","658957","2648425740","1083232042790","270132679"
"2023/12/04","4010","-5","-0.12","4020","4045","4000","570822","2293653960","1083232042790","270132679"
"2023/12/01","4015","-15","-0.37","4005","4045","4000","531236","2129548135","1084582706185","270132679"
