종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
005930,삼성전자,KOSPI,,71700,700,0.99,71600,72000,70700,17818368,1271748449100,428033408835000,5969782550
000660,SK하이닉스,KOSPI,,136200,5200,3.97,131500,136800,130600,3041927,407634139200,99153922113000,728002365
373220,LG에너지솔루션,KOSPI,,390500,500,0.13,390000,399000,387000,190047,74419367000,91377000000000,234000000
207940,삼성바이오로직스,KOSPI,,750000,-6000,-0.79,756000,760000,748000,45061,33910190000,53380500000000,71174000
005935,삼성전자우,KOSPI,,58500,200,0.34,58200,59200,58100,887970,51969828544,48138871950000,822886700
005380,현대차,KOSPI,,180200,-1600,-0.88,180000,182500,179900,431703,78064514200,38117977381200,211531506
068270,셀트리온,KOSPI,,174700,-3300,-1.85,178000,179500,173700,793923,140024372483,38081229512900,217980707
005490,POSCO홀딩스,KOSPI,,422000,3000,0.72,417000,432000,415000,664136,282010042000,35689059060000,84571230
035420,NAVER,KOSPI,,216500,-2500,-1.14,217000,219500,215000,727163,157603289500,35161460601000,162408594
000270,기아,KOSPI,,87300,-600,-0.68,87500,88500,86900,838004,73438522400,35098458921900,402044203
051910,LG화학,KOSPI,,412000,3500,0.86,403500,416000,403000,307452,126517037248,29084045316000,70592343
247540,에코프로비엠,KOSDAQ GLOBAL,우량기업부,289000,7000,2.48,281000,302000,280500,1140653,335017547500,28264588416000,97801344
006400,삼성SDI,KOSPI,,376500,-2500,-0.66,372000,388500,367500,476110,179561028000,25889845545000,68764530
035720,카카오,KOSPI,,56800,-700,-1.22,57200,57900,55900,2226450,126840521200,25267473070400,444849878
003670,포스코퓨처엠,KOSPI,,284500,-4000,-1.39,288500,296500,283000,510708,147801603000,22038286090000,77463220
028260,삼성물산,KOSPI,,115400,-1600,-1.37,116000,116800,115400,234520,27195806100,21417278718000,185591670
105560,KB금융,KOSPI,,49400,-400,-0.80,49450,49700,49200,873022,43144959650,19933446956800,403511072
012330,현대모비스,KOSPI,,200000,-5500,-2.68,205000,206500,199900,294589,59313557200,18731018800000,93655094
055550,신한지주,KOSPI,,36350,-200,-0.55,36550,36600,36100,673339,24484551000,18638806770850,512759471
086520,에코프로,KOSDAQ,우량기업부,585000,-10000,-1.68,588000,611000,585000,303552,180785984000,15577185780000,26627668
066570,LG전자,KOSPI,,91200,-100,-0.11,91100,92400,91100,489052,44808205600,14924680636800,163647814
450080,에코프로머티,KOSPI,,215500,-11000,-4.86,224500,228500,213500,790423,176478413500,14866314479000,68985218
323410,카카오뱅크,KOSPI,,28500,-500,-1.72,29000,29000,28300,1127963,32244930000,13590855904500,476872137
011200,HMM,KOSPI,,19590,-710,-3.50,20350,20400,19450,2853961,56242735540,13498283726640,689039496
018260,삼성에스디에스,KOSPI,,166700,1600,0.97,165000,168400,164300,130540,21805613700,12898879260000,77377800
138040,메리츠금융지주,KOSPI,,59700,700,1.19,59300,60600,59200,273591,16391593500,12141315205800,203372114
032830,삼성생명,KOSPI,,60100,-1000,-1.64,61300,61400,60100,331780,20092465300,12020000000000,200000000
015760,한국전력,KOSPI,,18720,-260,-1.37,19000,19090,18710,964098,18142964210,12017567521440,641964077
086790,하나금융지주,KOSPI,,41100,-200,-0.48,41300,41450,40800,923529,37919209936,12015856177800,292356598
096770,SK이노베이션,KOSPI,,116600,-1300,-1.10,117300,120500,116400,395144,46481548400,11736438762400,100655564
003550,LG,KOSPI,,72100,-100,-0.14,72100,73000,71700,438501,31697606304,11341401595300,157300993
000810,삼성화재,KOSPI,,237000,-6500,-2.67,240500,243000,235000,125570,29834379000,11227836369000,47374837
033780,KT&G,KOSPI,,83900,-600,-0.71,85200,85500,83900,184502,15572082100,11227707498300,133822497
034730,SK,KOSPI,,151200,-1800,-1.18,152500,154500,150300,120863,18332465300,11067587344800,73198329
017670,SK텔레콤,KOSPI,,49400,0,0.00,49500,49550,49300,320917,15869221450,10810357313600,218833144
009150,삼성전기,KOSPI,,138900,300,0.22,139100,140200,137200,327547,45491709200,10374954374400,74693696
329180,HD현대중공업,KOSPI,,115200,1300,1.14,114400,117400,114200,91189,10584712100,10226662963200,88773116
034020,두산에너빌리티,KOSPI,,14780,210,1.44,14750,14920,14640,1931871,28627009880,9467493737880,640561146
010130,고려아연,KOSPI,,450500,-1000,-0.22,450000,458500,450000,21706,9837718000,9419318894000,20908588
316140,우리금융지주,KOSPI,,12470,20,0.16,12510,12550,12450,1101986,13778522540,9376809778670,751949461
024110,기업은행,KOSPI,,11490,-90,-0.78,11570,11570,11480,598057,6881489500,9162423234810,797425869
352820,하이브,KOSPI,,219500,-4000,-1.79,222000,225500,217500,208725,46110091000,9142635291500,41652097
259960,크래프톤,KOSPI,,184500,-1500,-0.81,187300,188700,184400,56506,10501553900,8922926083500,48362743
047050,포스코인터내셔널,KOSPI,,50600,100,0.20,50300,52000,50000,588850,29981914100,8901693072800,175922788
030200,KT,KOSPI,,33800,500,1.50,33400,33800,33200,489721,16438977390,8715693688000,257860760
022100,포스코DX,KOSPI,,57200,-1600,-2.72,58400,59600,56600,1497680,86697602800,8696386498800,152034729
003490,대한항공,KOSPI,,22250,150,0.68,22000,22550,21950,617983,13790124550,8192909707250,368220661
090430,아모레퍼시픽,KOSPI,,130600,9300,7.67,121100,131500,121100,339723,43735145900,7639154325400,58492759
009540,HD한국조선해양,KOSPI,,105100,700,0.67,105100,106700,104600,109138,11517617400,7438254491600,70773116
010950,S-Oil,KOSPI,,64900,200,0.31,64900,65600,64700,109621,7114984500,7306623200800,112582792
066970,엘앤에프,KOSDAQ GLOBAL,우량기업부,201500,500,0.25,200500,210000,196300,864184,175861681100,7303936737500,36247825
012450,한화에어로스페이스,KOSPI,,141400,6400,4.74,135200,142300,135100,688748,96627879700,7159082000000,50630000
377300,카카오페이,KOSPI,,53000,-2000,-3.64,55000,55300,52600,354469,19045758400,7116048498000,134265066
326030,SK바이오팜,KOSPI,,88700,-800,-0.89,89500,90600,88200,96296,8598707000,6946385275000,78313250
042660,한화오션,KOSPI,,21600,200,0.93,21400,22100,21200,484618,10512935650,6617352218400,306358899
402340,SK스퀘어,KOSPI,,47400,550,1.17,48300,48300,46750,200087,9493607700,6587701106400,138981036
010140,삼성중공업,KOSPI,,7120,70,0.99,7050,7270,6980,3055790,21893302090,6265600000000,880000000
086280,현대글로비스,KOSPI,,167000,-1600,-0.95,168600,170800,167000,50150,8420262700,6262500000000,37500000
028300,HLB,KOSDAQ,중견기업부,46200,3150,7.32,43450,47450,43450,2356607,108566280850,6022249279200,130351716
161390,한국타이어앤테크놀로지,KOSPI,,47100,2600,5.84,45100,47600,44200,691563,32326939850,5834515749900,123875069
009830,한화솔루션,KOSPI,,33200,-950,-2.78,34100,34600,32800,1400022,46873870600,5706832195200,171892536
454910,두산로보틱스,KOSPI,,87100,-2300,-2.57,89400,90400,85600,1238411,108517923600,5645820258000,64819980
005830,DB손해보험,KOSPI,,78600,-1100,-1.38,79600,80400,78300,160968,12727556900,5564880000000,70800000
042700,한미반도체,KOSPI,,56200,3800,7.25,52400,56500,51800,1351318,73435594000,5470468772400,97339302
088980,맥쿼리인프라,KOSPI,,12390,-60,-0.48,12420,12440,12380,394288,4888493270,5399330988450,435781355
001570,금양,KOSPI,,91800,-1700,-1.82,91800,95400,91000,346179,32268440200,5328993396600,58050037
047810,한국항공우주,KOSPI,,54600,1800,3.41,53500,55400,53400,766080,41917514600,5322140842200,97475107
361610,SK아이이테크놀로지,KOSPI,,74400,-600,-0.80,75000,76400,73400,198842,14850691500,5304540844800,71297592
267250,HD현대,KOSPI,,66600,900,1.37,66000,67500,65900,229540,15388968500,5260939461000,78993085
011170,롯데케미칼,KOSPI,,122300,-1600,-1.29,123000,124600,122000,125767,15437539000,5231433743700,42775419
051900,LG생활건강,KOSPI,,325500,20500,6.72,303000,339000,303000,143346,46641107000,5083723123500,15618197
180640,한진칼,KOSPI,,75600,-500,-0.66,77800,77900,74600,107746,8146659400,5047228292400,66762279
251270,넷마블,KOSPI,,56000,1000,1.82,55300,56800,54500,75362,4209000300,4813396112000,85953502
302440,SK바이오사이언스,KOSPI,,62500,-900,-1.42,63200,63900,62500,79888,5032083700,4801734375000,76827750
307950,현대오토에버,KOSPI,,174700,-100,-0.06,174000,176900,170500,139079,24146924100,4790969655400,27423982
011070,LG이노텍,KOSPI,,201500,-3000,-1.47,204500,207000,200000,133335,26994185000,4768922060500,23667107
034220,LG디스플레이,KOSPI,,13180,430,3.37,12830,13500,12740,1614981,21388504520,4716010926000,357815700
028050,삼성엔지니어링,KOSPI,,23800,-50,-0.21,23600,24150,23600,623477,14857043750,4664800000000,196000000
000100,유한양행,KOSPI,,59800,-600,-0.99,60100,60800,59800,177964,10700163000,4582991688600,76638657
005070,코스모신소재,KOSPI,,137600,-1500,-1.08,138500,140500,137000,111307,15451000600,4473480025600,32510756
241560,두산밥캣,KOSPI,,44500,550,1.25,43950,45100,43350,377256,16727619747,4461087887000,100249166
196170,알테오젠,KOSDAQ GLOBAL,기술성장기업부,83000,-4800,-5.47,88400,92000,81800,1199984,105251664800,4399981724000,53011828
097950,CJ제일제당,KOSPI,,284500,-3000,-1.04,285500,291500,284000,21424,6125879000,4282915917000,15054186
032640,LG유플러스,KOSPI,,9750,-60,-0.61,9800,9840,9750,875836,8555150750,4256960769750,436611361
004020,현대제철,KOSPI,,31450,50,0.16,31450,31800,31000,206970,6525350850,4196869938250,133445785
036570,엔씨소프트,KOSPI,,190800,-2800,-1.45,193100,194600,189900,139237,26777941900,4188827397600,21954022
021240,코웨이,KOSPI,,55500,-200,-0.36,55700,56300,55200,99739,5558158966,4095878854500,73799619
128940,한미약품,KOSPI,,324500,-6000,-1.82,330500,334500,323000,51151,16764029500,4076420271000,12562158
005387,현대차2우B,KOSPI,,108600,-1100,-1.00,109300,109600,107500,64927,7071668024,3922696834200,36120597
006800,미래에셋증권,KOSPI,,6440,-230,-3.45,6610,6640,6400,972191,6309644510,3898237667520,605316408
068760,셀트리온제약,KOSDAQ,우량기업부,96300,-3300,-3.31,100100,101700,94900,489490,47957303400,3814466400900,39610243
078930,GS,KOSPI,,40400,400,1.00,40250,40400,39750,114047,4578577585,3753781271200,92915378
271560,오리온,KOSPI,,92700,2900,3.23,91200,94700,91100,1210785,112618239900,3664999436400,39536132
000720,현대건설,KOSPI,,32800,0,0.00,32750,33250,32600,236122,7784146550,3652469092000,111355765
403870,HPSP,KOSDAQ,벤처기업부,44050,2250,5.38,41650,44050,41200,1545760,66409788150,3649290269700,82844274
029780,삼성카드,KOSPI,,31450,-50,-0.16,31650,31650,31250,35545,1116317700,3643762121950,115858891
272210,한화시스템,KOSPI,,18760,280,1.52,18480,19190,18110,1751354,32922436070,3544127737640,188919389
267260,HD현대일렉트릭,KOSPI,,97400,4400,4.73,95000,98700,94900,314892,30684556300,3510990949000,36047135
011780,금호석유,KOSPI,,113500,-1900,-1.65,115400,116600,113200,88669,10088957100,3240161566500,28547679
277810,레인보우로보틱스,KOSDAQ,기술성장기업부,167000,-1200,-0.71,165900,169600,163600,246439,40961910100,3239776286000,19399858
018880,한온시스템,KOSPI,,6060,-390,-6.05,6360,6400,6050,1642196,10091294170,3234828000000,533800000
005940,NH투자증권,KOSPI,,9730,-30,-0.31,9790,9820,9730,310777,3032699468,3227109411330,331665921
016360,삼성증권,KOSPI,,35550,-850,-2.34,36250,36400,35500,259466,9272893750,3174615000000,89300000
035250,강원랜드,KOSPI,,14620,-10,-0.07,14730,14760,14620,373423,5484118590,3127810110000,213940500
008930,한미사이언스,KOSPI,,44400,-5450,-10.93,51000,51700,44200,3885086,185108723350,3106088136000,69956940
071050,한국금융지주,KOSPI,,55300,-600,-1.07,55600,56300,55000,80145,4454619700,3081647357600,55725992
058470,리노공업,KOSDAQ GLOBAL,우량기업부,199100,2000,1.01,198700,201000,194100,89527,17627482100,3034755867000,15242370
011790,SKC,KOSPI,,77600,-1900,-2.39,79000,80400,77300,236579,18627169900,2938579924800,37868298
035900,JYP Ent.,KOSDAQ GLOBAL,우량기업부,82600,-300,-0.36,82100,85400,80600,1328180,109497136200,2933744839200,35517492
010620,현대미포조선,KOSPI,,72100,-100,-0.14,72300,73800,71700,81555,5921741800,2879828942900,39942149
064350,현대로템,KOSPI,,26000,500,1.96,25450,26150,25450,851105,22052814000,2837699618000,109142293
000120,CJ대한통운,KOSPI,,122400,-600,-0.49,122100,124400,122000,34201,4212788600,2792230905600,22812344
417200,LS머트리얼즈,KOSDAQ,중견기업부,41050,-2250,-5.20,42500,44500,41000,2382020,101206697600,2777141651950,67652659
383220,F&F,KOSPI,,70900,-500,-0.70,71100,73800,70300,139114,9919825400,2715971617500,38307075
003410,쌍용C&E,KOSPI,,5380,-70,-1.28,5450,5510,5360,354864,1917136800,2682989687840,498696968
079550,LIG넥스원,KOSPI,,121300,800,0.66,121200,124400,120000,231265,28312400300,2668600000000,22000000
