일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2022/09/30,41700,-12300,-22.78,54000,54000,39900,3788959,165749531200,1405144800600,33696518
2022/10/04,44800,3100,7.43,42550,47300,41400,2919668,130654582750,1509604006400,33696518
2022/10/05,43900,-900,-2.01,45700,46200,42650,815132,35766767650,1479277140200,33696518
2022/10/06,47800,3900,8.88,44300,50000,44000,2308374,109310106550,1610693560400,33696518
2022/10/07,44200,-3600,-7.53,47050,48100,43000,811152,37470931550,1489386095600,33696518
2022/10/11,40300,-3900,-8.82,43000,43150,40000,624757,25670917500,1357969675400,33696518
2022/10/12,42250,1950,4.84,40100,42350,39700,613239,25319245650,1423677885500,33696518
2022/10/13,39750,-2500,-5.92,41350,42350,39700,362217,14718825450,1339436590500,33696518
2022/10/14,41200,1450,3.65,40850,41850,40400,335675,13787205150,1388296541600,33696518
2022/10/17,41200,0,0.00,40250,41950,39400,290312,11869009350,1388296541600,33696518
2022/10/18,42750,1550,3.76,42200,43200,41550,334744,14199741450,1440526144500,33696518
2022/10/19,42550,-200,-0.47,42800,45250,41800,466837,20470577900,1433786840900,33696518
2022/10/20,41100,-1450,-3.41,42500,43000,40050,396860,16287271500,1384926889800,33696518
2022/10/21,44700,3600,8.76,41700,46200,41550,1209726,54600812150,1506234354600,33696518
2022/10/24,45900,1200,2.68,44850,46550,43950,355515,16062767050,1546670176200,33696518
2022/10/25,46450,550,1.20,45900,47500,45300,382265,17779470950,1565203261100,33696518
2022/10/26,45000,-1450,-3.12,46600,47200,45000,251844,11663187500,1516343310000,33696518
2022/10/27,48850,3850,8.56,45750,49500,45400,527616,25435199900,1646074904300,33696518
2022/10/28,47800,-1050,-2.15,48500,49400,47050,345636,16565115400,1610693560400,33696518
2022/10/31,49850,2050,4.29,49200,51500,48750,374413,18716750100,1679771422300,33696518
2022/11/01,50000,150,0.30,50500,51500,48200,359593,18022015450,1684825900000,33696518
2022/11/02,51000,1000,2.00,49750,52300,49100,356013,17950060300,1718522418000,33696518
2022/11/03,50900,-100,-0.20,49500,50900,49150,240544,11978274850,1715152766200,33696518
2022/11/04,53500,2600,5.11,50400,54900,49900,702519,37186871350,1802763713000,33696518
2022/11/07,50600,-2900,-5.42,52900,53500,50000,331132,17052990700,1705043810800,33696518
2022/11/08,49200,-1400,-2.77,50900,50900,48550,275839,13603368600,1657868685600,33696518
2022/11/09,51500,2300,4.67,49300,51600,49050,185047,9312674600,1735370677000,33696518
2022/11/10,51200,-300,-0.58,50500,51900,50400,94493,4832907500,1725261721600,33696518
2022/11/11,51100,-100,-0.20,52800,52800,50400,198700,10216808000,1721892069800,33696518
2022/11/14,53000,1900,3.72,51900,54400,50600,293811,15481803500,1785915454000,33696518
2022/11/15,54000,1000,1.89,54000,54600,52000,212167,11334723300,1819611972000,33696518
2022/11/16,52100,-1900,-3.52,53900,53900,51400,241032,12573797700,1755588587800,33696518
2022/11/17,51900,-200,-0.38,51800,52700,51500,93258,4850969200,1748849284200,33696518
2022/11/18,51900,0,0.00,52100,52500,51700,87093,4532343100,1748849284200,33696518
2022/11/21,49300,-2600,-5.01,51700,52800,48950,192662,9675580150,1661238337400,33696518
2022/11/22,50800,1500,3.04,49200,51100,48900,135623,6846803050,1711783114400,33696518
2022/11/23,51100,300,0.59,51100,51500,50300,61141,3113258800,1721892069800,33696518
2022/11/24,51700,600,1.17,51500,52500,50900,75806,3921340600,1742109980600,33696518
2022/11/25,54400,2700,5.22,51700,54600,51000,330345,17793897900,1833090579200,33696518
2022/11/28,52700,-1700,-3.13,54100,54300,52700,98975,5285467400,1775806498600,33696518
2022/11/29,52600,-100,-0.19,52200,53800,51800,86685,4584842700,1772436846800,33696518
2022/11/30,53100,500,0.95,52500,53800,51000,178069,9335509800,1789285105800,33696518
2022/12/01,52900,-200,-0.38,53800,55200,52500,180389,9680957200,1782545802200,33696518
2022/12/02,52000,-900,-1.70,52800,52800,51400,86827,4501859200,1752218936000,33696518
2022/12/05,51300,-700,-1.35,51800,52600,51100,104201,5366250800,1728631373400,33696518
2022/12/06,50100,-1200,-2.34,50700,50700,49450,126900,6352459950,1688195551800,33696518
2022/12/07,50200,100,0.20,50000,50900,49200,87546,4396023750,1691565203600,33696518
2022/12/08,50300,100,0.20,50300,51700,48100,473367,23887110050,1694934855400,33696518
2022/12/09,46600,-3700,-7.36,50300,50300,45650,553982,26585947600,1570257738800,33696518
2022/12/12,46150,-450,-0.97,46050,47050,45250,125278,5784310300,1555094305700,33696518
2022/12/13,44700,-1450,-3.14,46350,46500,44600,168775,7620252900,1506234354600,33696518
2022/12/14,46200,1500,3.36,45050,46250,44850,91112,4154502850,1556779131600,33696518
2022/12/15,44550,-1650,-3.57,45500,46350,44300,98907,4464131800,1501179876900,33696518
2022/12/16,43750,-800,-1.80,43850,44650,43550,53201,2342948400,1474222662500,33696518
2022/12/19,43900,150,0.34,44000,44750,43500,50695,2233693700,1479277140200,33696518
2022/12/20,43250,-650,-1.48,44750,44850,43200,87233,3823790650,1457374403500,33696518
2022/12/21,43400,150,0.35,43450,43900,43200,49298,2146388900,1462428881200,33696518
2022/12/22,45000,1600,3.69,43600,45000,43250,163226,7233386550,1516343310000,33696518
2022/12/23,43200,-1800,-4.00,44200,44300,42500,125748,5479217950,1455689577600,33696518
2022/12/26,43800,600,1.39,43200,43800,42500,99781,4318561150,1475907488400,33696518
2022/12/27,44600,800,1.83,44300,45350,44100,126518,5661199800,1502864702800,33696518
2022/12/28,41950,-2650,-5.94,44400,44400,41750,210966,8930573900,1413568930100,33696518
2022/12/29,40350,-1600,-3.81,41950,42250,39900,171193,6936131450,1359654501300,33696518
2023/01/02,41400,1050,2.60,40650,41650,40200,171593,7023923100,1395035845200,33696518
2023/01/03,41100,-300,-0.72,41800,41800,40500,70805,2911056700,1384926889800,33696518
2023/01/04,40950,-150,-0.36,41050,41050,39300,98673,3977524700,1379872412100,33696518
2023/01/05,40600,-350,-0.85,41000,41200,40300,74194,3023455100,1368078630800,33696518
2023/01/06,41200,600,1.48,40400,42200,40200,103839,4300153200,1388296541600,33696518
2023/01/09,42650,1450,3.52,41850,42650,41350,66978,2819378350,1437156492700,33696518
2023/01/10,42300,-350,-0.82,42900,44350,42300,170952,7379883950,1425362711400,33696518
2023/01/11,44500,2200,5.20,42500,44600,42450,172466,7544367750,1499495051000,33696518
2023/01/12,44300,-200,-0.45,44200,45100,44100,146930,6549542150,1492755747400,33696518
2023/01/13,43400,-900,-2.03,44300,44750,42550,133498,5781329700,1462428881200,33696518
2023/01/16,44000,600,1.38,43400,44300,43150,85711,3765867050,1482646792000,33696518
2023/01/17,42650,-1350,-3.07,43800,44600,42600,97746,4245593950,1437156492700,33696518
2023/01/18,42650,0,0.00,42750,42950,41850,58131,2459874100,1437156492700,33696518
2023/01/19,42900,250,0.59,42250,43100,41950,47135,2009387150,1445580622200,33696518
2023/01/20,43250,350,0.82,43050,43300,42500,39615,1698323100,1457374403500,33696518
2023/01/25,44300,1050,2.43,43550,44350,43300,74918,3293501600,1492755747400,33696518
2023/01/26,45800,1500,3.39,44250,45900,43550,134613,6053815850,1543300524400,33696518
2023/01/27,45750,-50,-0.11,45900,46650,45250,79102,3618810700,1541615698500,33696518
2023/01/30,45000,-750,-1.64,45750,46250,44500,67597,3069193800,1516343310000,33696518
2023/01/31,44750,-250,-0.56,45000,45550,44200,92410,4144857950,1507919180500,33696518
2023/02/01,46550,1800,4.02,45050,46550,44600,104784,4792663900,1568572912900,33696518
2023/02/02,50600,4050,8.70,47200,50700,46600,374829,18391858400,1705043810800,33696518
2023/02/03,51200,600,1.19,51000,51400,50100,145284,7356703000,1725261721600,33696518
2023/02/06,51800,600,1.17,50600,52100,50100,138293,7105205700,1745479632400,33696518
2023/02/07,52900,1100,2.12,51600,54200,51600,263583,13999638800,1782545802200,33696518
