일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2010/01/04,69762,778,1.13,68108,69762,67719,1129941,79669065500,7984208350500,111355765
2010/01/05,68789,-973,-1.39,69762,70054,68108,855225,60582156800,7872852585500,111355765
2010/01/06,69276,487,0.71,68303,69762,68205,919692,65162721600,7928530468000,111355765
2010/01/07,67622,-1654,-2.39,69081,69178,67622,782922,54911813700,7739225667500,111355765
2010/01/08,67719,97,0.14,68205,68789,66746,600640,41616831800,7750361244000,111355765
2010/01/11,70541,2822,4.17,68108,70541,67719,1652974,118399891200,8073292962500,111355765
2010/01/12,70930,389,0.55,71027,71222,69665,1092722,79273341000,8117835268500,111355765
2010/01/13,68789,-2141,-3.02,70249,70930,68400,732814,52346228700,7872852585500,111355765
2010/01/14,69957,1168,1.70,69081,69957,68789,727103,51886840400,8006479503500,111355765
2010/01/15,68789,-1168,-1.67,70541,70930,68205,1052436,74851308100,7872852585500,111355765
2010/01/18,70054,1265,1.84,69081,70541,68205,813886,57919623300,8017615080000,111355765
2010/01/19,71514,1460,2.08,70735,72389,70151,1624036,119248680200,8184648727500,111355765
2010/01/20,71708,194,0.27,72000,72195,70638,1207688,88919046900,8206919880500,111355765
2010/01/21,71903,195,0.27,71124,72486,70151,839619,61632920530,8229191033500,111355765
2010/01/22,69957,-1946,-2.71,70735,71124,69568,872022,62819473500,8006479503500,111355765
2010/01/25,66357,-3600,-5.15,68595,69470,65578,1318228,91328633600,7594463173000,111355765
2010/01/26,64508,-1849,-2.79,66357,66746,64119,973352,65168596400,7382887219500,111355765
2010/01/27,62562,-1946,-3.02,64897,65870,62465,1369416,89572158400,7160175689500,111355765
2010/01/28,63827,1265,2.02,62854,64411,61200,772650,50382406900,7304938184000,111355765
2010/01/29,62659,-1168,-1.83,62465,63827,61492,811825,52003673300,7171311266000,111355765
2010/02/01,60519,-2140,-3.42,62465,62951,60519,1029136,64532708200,6926328583000,111355765
2010/02/02,58865,-1654,-2.73,61297,61395,58865,1608143,98811625500,6737023782500,111355765
2010/02/03,61005,2140,3.64,59838,61200,59351,1202525,74619636700,6982006465500,111355765
2010/02/04,60616,-389,-0.64,60519,61200,59838,483733,30044967300,6937464159500,111355765
2010/02/05,57697,-2919,-4.82,57503,58670,57405,954742,56874307500,6603396864500,111355765
2010/02/08,55751,-1946,-3.37,58086,58281,55654,793165,46243208600,6380685334500,111355765
2010/02/09,57892,2141,3.84,55654,58086,55654,709056,41553883600,6625668017500,111355765
2010/02/10,57600,-292,-0.50,58573,58670,57114,539606,31984116200,6592261288000,111355765
2010/02/11,58184,584,1.01,57697,58670,57211,808354,48175990800,6659074747000,111355765
2010/02/12,60130,1946,3.34,58476,60324,57989,968435,59070738100,6881786277000,111355765
2010/02/16,60324,194,0.32,59935,60616,59643,664535,41079388900,6904057430000,111355765
2010/02/17,60422,98,0.16,61200,61297,60130,670657,41747727200,6915193006500,111355765
2010/02/18,59254,-1168,-1.93,60324,60714,59059,670789,41130870700,6781566088500,111355765
2010/02/19,57989,-1265,-2.13,58670,59351,57211,810455,48270539000,6636803594000,111355765
2010/02/22,58670,681,1.17,58670,59351,58476,507961,30680690300,6714752629500,111355765
2010/02/23,58962,292,0.50,58573,59157,58086,551218,33166567700,6748159359000,111355765
2010/02/24,58768,-194,-0.33,58573,58865,58086,427369,25719714700,6725888206000,111355765
2010/02/25,57795,-973,-1.66,58962,59157,57211,504905,30066963200,6614532441000,111355765
2010/02/26,58281,486,0.84,57697,58378,57308,351560,20958797000,6670210323500,111355765
2010/03/02,60324,2043,3.51,58768,60519,58768,845221,51899989900,6904057430000,111355765
2010/03/03,59935,-389,-0.65,60130,61103,59546,789131,48915558500,6859515124000,111355765
2010/03/04,59059,-876,-1.46,60032,60324,58768,585344,35740234300,6759294935500,111355765
2010/03/05,60422,1363,2.31,59351,60519,59059,510703,31392562900,6915193006500,111355765
2010/03/08,61103,681,1.13,60811,61297,60519,974705,61109555000,6993142042000,111355765
2010/03/09,62659,1556,2.55,61297,63243,60908,1484140,95508124100,7171311266000,111355765
2010/03/10,62757,98,0.16,63146,63632,62562,783383,50813656100,7182446842500,111355765
2010/03/11,63438,681,1.09,63341,63730,62659,897176,58362597700,7260395878000,111355765
2010/03/12,62465,-973,-1.53,62757,63243,62076,386191,24810792100,7149040113000,111355765
2010/03/15,62270,-195,-0.31,62562,62854,61784,311273,19902931100,7126768960000,111355765
2010/03/16,62076,-194,-0.31,63632,64022,62076,635253,41122582100,7104497807000,111355765
2010/03/17,62757,681,1.10,62465,63049,61881,446485,28658780500,7182446842500,111355765
2010/03/18,63535,778,1.24,62270,64605,62270,779196,51176413100,7271531454500,111355765
2010/03/19,65092,1557,2.45,64022,65189,63535,746562,49606799000,7449700678500,111355765
2010/03/22,63438,-1654,-2.54,64897,64897,63438,401309,26342201900,7260395878000,111355765
2010/03/23,66259,2821,4.45,64605,66551,64022,1076810,72831733200,7583327596500,111355765
2010/03/24,64897,-1362,-2.06,66746,66746,64022,1240293,82670204300,7427429525500,111355765
2010/03/25,62854,-2043,-3.15,64703,64703,62659,1425746,92592932900,7193582419000,111355765
2010/03/26,63341,487,0.77,63049,63632,62465,567290,36810674800,7249260301500,111355765
2010/03/29,61395,-1946,-3.07,62562,62757,61297,1118971,71133998800,7026548771500,111355765
2010/03/30,61297,-98,-0.16,62173,62368,61005,775241,49060191300,7015413195000,111355765
2010/03/31,60422,-875,-1.43,61881,62270,60324,803502,50336362400,6915193006500,111355765
2010/04/01,60130,-292,-0.48,60519,62270,60032,1065251,66443756900,6881786277000,111355765
2010/04/02,59449,-681,-1.13,60519,61005,59157,2060351,125717613500,6803837241500,111355765
2010/04/05,58573,-876,-1.47,59546,59741,57989,1394651,83715168800,6703617053000,111355765
2010/04/06,58768,195,0.33,58768,59157,58378,863314,52085712000,6725888206000,111355765
2010/04/07,58476,-292,-0.50,58768,58768,57989,1475707,88440655100,6692481476500,111355765
2010/04/08,59935,1459,2.50,58476,60032,58476,1761859,107563422157,6859515124000,111355765
2010/04/09,59157,-778,-1.30,59935,60032,58670,638224,38735941700,6770430512000,111355765
2010/04/12,58865,-292,-0.49,59157,59643,58573,558852,33844619900,6737023782500,111355765
2010/04/13,58086,-779,-1.32,58865,59059,57697,809580,48365433500,6647939170500,111355765
2010/04/14,57600,-486,-0.84,58281,58768,56919,1340366,79277754000,6592261288000,111355765
2010/04/15,58281,681,1.18,58184,58768,57211,1623116,96798757100,6670210323500,111355765
2010/04/16,57114,-1167,-2.00,58086,58184,56822,1280077,75407738400,6536583405500,111355765
2010/04/19,55362,-1752,-3.07,56335,56724,55362,1133808,65061604500,6336143028500,111355765
2010/04/20,55946,584,1.05,55946,56822,55849,700850,40491497700,6402956487500,111355765
2010/04/21,55459,-487,-0.87,55557,56043,54973,1622099,92402122000,6347278605000,111355765
2010/04/22,57405,1946,3.51,55654,57503,55459,1631181,94608319700,6569990135000,111355765
2010/04/23,56238,-1167,-2.03,57405,57697,55946,1039673,60331627000,6436363217000,111355765
2010/04/26,55751,-487,-0.87,56141,56919,55557,1061512,61195718000,6380685334500,111355765
2010/04/27,56627,876,1.57,56724,57600,56432,1408128,82415769900,6480905523000,111355765
2010/04/28,54681,-1946,-3.44,55459,55751,54584,1343442,76164323300,6258193993000,111355765
2010/04/29,52735,-1946,-3.56,54973,55070,52638,1676325,91563150200,6035482463000,111355765
2010/04/30,52638,-97,-0.18,53222,54097,52638,956968,52535907200,6024346886500,111355765
2010/05/03,50886,-1752,-3.33,52054,52443,50400,1539711,80603800300,5823906509500,111355765
2010/05/04,50692,-194,-0.38,51081,51762,50497,895743,46925212600,5801635356500,111355765
2010/05/06,50692,0,0.00,49427,51762,49330,1403823,73099647400,5801635356500,111355765
2010/05/07,48941,-1751,-3.45,49427,49719,48551,1577112,79413546250,5601194979500,111355765
2010/05/10,51568,2627,5.37,49330,51665,49038,1275680,66372582200,5901855545000,111355765
2010/05/11,50692,-876,-1.70,52054,52541,50108,1168131,61587224400,5801635356500,111355765
2010/05/12,48746,-1946,-3.84,50789,50984,48649,1253827,63189283500,5578923826500,111355765
2010/05/13,47822,-924,-1.90,49232,49330,47335,2327029,114514192450,5473135849750,111355765
2010/05/14,47676,-146,-0.31,47773,49038,47335,1887210,92913482750,5456432485000,111355765
2010/05/17,45584,-2092,-4.39,47092,47189,45584,1348986,64090517000,5217017590250,111355765
2010/05/18,46314,730,1.60,46168,46897,45341,1286737,61015774350,5300534414000,111355765
2010/05/19,44805,-1509,-3.26,45924,46654,44805,1298095,60637753800,5127932978250,111355765
2010/05/20,46022,1217,2.71,45146,48114,45146,2982487,143753015950,5267127684500,111355765
