종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","4115","30","0.73","3955","4340","3860","15051725","62565312055","199728281830","48536642"
"095570","AJ네트웍스","KOSPI",,"4800","-140","-2.83","4905","4940","4755","329411","1584252240","217213243200","45252759"
"006840","AK홀딩스","KOSPI",,"16570","-200","-1.19","16930","16930","16500","4812","80000670","219512085770","13247561"
"054620","APS","KOSDAQ","중견기업부","8660","-200","-2.26","8880","8960","8210","673782","5835994380","176613953860","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","22150","-200","-0.89","22250","22650","22100","53075","1183784150","338483475150","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","17790","-230","-1.28","17880","17970","17490","467235","8265916220","268314188160","15082304"
"027410","BGF","KOSPI",,"3700","-55","-1.46","3735","3745","3700","27826","103268165","354152126700","95716791"
"282330","BGF리테일","KOSPI",,"143500","2600","1.85","141800","144500","140000","82741","11792420104","2480240511000","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","4480","80","1.82","4400","4480","4385","150976","671605600","242069072000","54033275"
"138930","BNK금융지주","KOSPI",,"7020","-10","-0.14","7040","7080","6970","541424","3806849480","2261060834760","322088438"
"001460","BYC","KOSPI",,"399500","-2000","-0.50","401500","404000","397500","97","38708000","249533692500","624615"
"001465","BYC우","KOSPI",,"140500","-400","-0.28","140900","140900","140000","15","2106600","30261592500","215385"
"013720","CBI","KOSDAQ","중견기업부","1689","-59","-3.38","1711","1747","1645","766099","1302401043","72346943532","42834188"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2685","-5","-0.19","2690","2765","2635","107616","289883535","206460878670","76894182"
"001040","CJ","KOSPI",,"94000","1200","1.29","92800","94600","92700","30638","2879537800","2742637812000","29176998"
"079160","CJ CGV","KOSPI",,"5500","90","1.66","5350","5520","5350","452702","2472573440","673373591000","122431562"
"035760","CJ ENM","KOSDAQ GLOBAL","우량기업부","64000","-2700","-4.05","67000","67000","64000","91238","5960335700","1403465856000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","15450","-280","-1.78","15730","15730","15380","14361","223085110","140788155900","9112502"
"00104K","CJ4우(전환)","KOSPI",,"72100","900","1.26","70500","72100","70300","3087","219692800","304731515200","4226512"
"000120","CJ대한통운","KOSPI",,"126000","-5500","-4.18","131500","132000","125500","131146","16791366200","2874355344000","22812344"
"011150","CJ씨푸드","KOSPI",,"2890","-5","-0.17","2900","2925","2860","95627","277691475","103839933970","35930773"
"011155","CJ씨푸드1우","KOSPI",,"21500","250","1.18","21250","21500","21050","116","2453650","4300000000","200000"
"001045","CJ우","KOSPI",,"50000","-400","-0.79","50400","50600","50000","928","46700700","113011150000","2260223"
