일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2010/01/04,4421,-40,-0.88,4461,4500,4421,2133,9460000,255548596950,11383011
2010/01/05,4352,-69,-1.56,4362,4362,4352,457,1989500,251564543100,11383011
2010/01/06,4333,-19,-0.45,4372,4372,4303,762,3288000,250426242000,11383011
2010/01/07,4185,-148,-3.41,4205,4293,4185,21905,92362500,241888983750,11383011
2010/01/08,4224,39,0.94,4185,4402,4146,6449,26937000,244165585950,11383011
2010/01/11,4116,-108,-2.56,4146,4175,4067,25338,104700000,237904929900,11383011
2010/01/12,3870,-246,-5.98,4077,4146,3801,171011,673143000,223676166150,11383011
2010/01/13,3732,-138,-3.56,3762,3899,3732,106429,399497000,215708058450,11383011
2010/01/14,3614,-118,-3.17,3742,3752,3545,90536,329426500,208878251850,11383011
2010/01/15,3702,88,2.45,3634,3762,3634,49372,182333600,214000606800,11383011
2010/01/18,3732,30,0.8,3702,3791,3693,22195,83091950,215708058450,11383011
2010/01/19,3771,39,1.06,3850,3850,3762,18129,69268000,217984660650,11383011
2010/01/20,3702,-69,-1.83,3801,3801,3702,36310,135902500,214000606800,11383011
2010/01/21,3663,-39,-1.06,3702,3702,3574,37170,135734500,211724004600,11383011
2010/01/22,3653,-10,-0.27,3584,3702,3555,35216,128271250,211154854050,11383011
2010/01/25,3643,-10,-0.27,3653,3653,3614,10512,38222500,210585703500,11383011
2010/01/26,3722,79,2.16,3634,3722,3614,21866,80451400,215138907900,11383011
2010/01/27,3614,-108,-2.91,3683,3683,3614,12790,46358000,208878251850,11383011
2010/01/28,3624,10,0.27,3614,3634,3604,4981,18020400,209447402400,11383011
2010/01/29,3486,-138,-3.8,3565,3614,3486,14039,49644000,201479294700,11383011
2010/02/01,3437,-49,-1.41,3466,3486,3427,9987,34407150,198633541950,11383011
2010/02/02,3309,-128,-3.72,3427,3466,3190,166426,547312500,191234584800,11383011
2010/02/03,3535,226,6.85,3358,3535,3348,50372,175860000,204325047450,11383011
2010/02/04,3525,-10,-0.28,3506,3525,3486,609,2132000,203755896900,11383011
2010/02/05,3456,-69,-1.96,3515,3515,3387,21074,73498000,199771843050,11383011
2010/02/08,3387,-69,-1.99,3506,3545,3358,15920,55542500,195787789200,11383011
2010/02/09,3486,99,2.91,3417,3506,3348,25692,88705000,201479294700,11383011
2010/02/10,3506,20,0.56,3486,3515,3486,14881,52083800,202617595800,11383011
2010/02/11,3624,118,3.37,3496,3634,3496,16862,60305400,209447402400,11383011
2010/02/12,3574,-50,-1.36,3663,3673,3555,19348,70683500,206601649650,11383011
2010/02/16,3663,89,2.48,3702,3702,3545,19951,72682400,211724004600,11383011
2010/02/17,3693,30,0.81,3673,3693,3653,10510,38586000,213431456250,11383011
2010/02/18,3634,-59,-1.6,3702,3732,3634,2894,10616000,210016552950,11383011
2010/02/19,3801,167,4.61,3634,3801,3565,21224,78376500,219692112300,11383011
2010/02/22,3811,10,0.26,3722,3850,3693,23838,90167250,220261262850,11383011
2010/02/23,3811,0,0.0,3811,3811,3811,1777,6772500,220261262850,11383011
2010/02/24,3712,-99,-2.58,3801,3801,3712,1275,4786850,214569757350,11383011
2010/02/25,3673,-39,-1.06,3663,3683,3624,3605,13136000,212293155150,11383011
2010/02/26,3801,128,3.49,3742,3801,3702,4062,15164500,219692112300,11383011
2010/03/02,3732,-69,-1.81,3762,3831,3683,17376,65993900,215708058450,11383011
2010/03/03,3752,20,0.53,3722,3811,3673,609,2274500,216846359550,11383011
2010/03/04,3693,-59,-1.57,3771,3801,3653,17059,64222500,213431456250,11383011
2010/03/05,3702,9,0.27,3683,3821,3683,13864,52313000,214000606800,11383011
2010/03/08,3673,-29,-0.8,3722,3801,3653,16096,59406500,212293155150,11383011
2010/03/09,3781,108,2.95,3673,3791,3663,7363,27695000,218553811200,11383011
2010/03/10,3752,-29,-0.78,3781,3781,3702,10363,38755700,216846359550,11383011
2010/03/11,3702,-50,-1.31,3752,3762,3683,3758,13910000,214000606800,11383011
2010/03/12,3821,119,3.19,3742,3821,3742,10662,40713000,220830413400,11383011
2010/03/15,3801,-20,-0.52,3742,4392,3742,63841,252181200,219692112300,11383011
2010/03/16,3850,49,1.3,3831,3860,3781,5484,20966000,222537865050,11383011
2010/03/17,3860,10,0.26,3860,3929,3850,8632,33341500,223107015600,11383011
2010/03/18,3899,39,1.02,3909,3909,3821,2742,10601500,225383617800,11383011
2010/03/19,3890,-9,-0.25,3840,3949,3840,12642,49217500,224814467250,11383011
2010/03/22,3831,-59,-1.52,3939,3939,3801,4519,17431500,221399563950,11383011
2010/03/23,3890,59,1.54,3899,3899,3821,3158,12140000,224814467250,11383011
2010/03/24,3899,9,0.25,3919,3919,3860,4012,15574500,225383617800,11383011
2010/03/25,3840,-59,-1.52,3821,3880,3821,4977,19137000,221968714500,11383011
2010/03/26,3880,40,1.03,3831,3880,3801,857864,3294687000,224245316700,11383011
2010/03/29,3781,-99,-2.54,3880,3880,3752,12695,48128000,218553811200,11383011
2010/03/30,3762,-19,-0.52,3762,3831,3752,6803,25667500,217415510100,11383011
2010/03/31,3781,19,0.52,3722,3811,3712,15742,59039500,218553811200,11383011
2010/04/01,3762,-19,-0.52,3781,3781,3742,12139,45791600,217415510100,11383011
2010/04/02,3762,0,0.0,3762,3762,3702,4234,15837400,217415510100,11383011
2010/04/05,3870,108,2.88,3762,3870,3683,5534,20561500,223676166150,11383011
2010/04/06,3801,-69,-1.78,3840,3840,3762,7413,28149500,219692112300,11383011
2010/04/07,3722,-79,-2.07,3781,3781,3702,11430,42661900,215138907900,11383011
2010/04/08,3702,-20,-0.53,3712,3722,3693,7684,28518800,214000606800,11383011
2010/04/09,3840,138,3.72,3702,3840,3702,46820,173530000,221968714500,11383011
2010/04/12,3821,-19,-0.51,3781,3821,3732,46406,175399500,220830413400,11383011
2010/04/13,3722,-99,-2.58,3742,3762,3722,93357,349142500,215138907900,11383011
2010/04/14,3683,-39,-1.06,3762,3762,3525,26732,98684000,212862305700,11383011
2010/04/15,3673,-10,-0.27,3643,3781,3643,1726,6389500,212293155150,11383011
2010/04/16,3673,0,0.0,3702,3742,3673,71797,266767500,212293155150,11383011
2010/04/19,3594,-79,-2.14,3683,3683,3594,14233,51451450,207739950750,11383011
2010/04/20,3673,79,2.19,3624,3722,3604,6195,22498500,212293155150,11383011
