일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2010/01/04,25800,550,2.18,25350,26000,24950,130863,3352383600,361200000000,14000000
2010/01/05,25500,-300,-1.16,25650,26050,25300,87612,2239460200,357000000000,14000000
2010/01/06,26200,700,2.75,25550,26200,25100,126226,3231703350,366800000000,14000000
2010/01/07,25300,-900,-3.44,26350,26400,24950,176445,4524913650,354200000000,14000000
2010/01/08,24650,-650,-2.57,25000,25250,24400,110208,2721959100,345100000000,14000000
2010/01/11,24050,-600,-2.43,25000,25000,24000,117913,2892173150,336700000000,14000000
2010/01/12,24450,400,1.66,24000,24800,23650,109188,2633802600,342300000000,14000000
2010/01/13,24000,-450,-1.84,24250,24900,24000,60819,1487803600,336000000000,14000000
2010/01/14,23650,-350,-1.46,24100,24350,23650,96403,2300308050,331100000000,14000000
2010/01/15,24100,450,1.90,23800,24300,23450,54157,1298085200,337400000000,14000000
2010/01/18,25050,950,3.94,23900,25300,23750,106466,2631144800,350700000000,14000000
2010/01/19,24750,-300,-1.20,25150,25400,24500,75435,1875844150,346500000000,14000000
2010/01/20,24500,-250,-1.01,24900,25050,21050,209650,4983626000,343000000000,14000000
2010/01/21,23850,-650,-2.65,23950,24250,23550,66461,1587236050,333900000000,14000000
2010/01/22,23000,-850,-3.56,23550,24000,22350,163955,3768833000,322000000000,14000000
2010/01/25,22800,-200,-0.87,22400,23200,22200,114888,2619796100,319200000000,14000000
2010/01/26,22500,-300,-1.32,22800,23000,21600,89615,2005493900,315000000000,14000000
2010/01/27,22450,-50,-0.22,22150,22600,21850,56214,1246786300,314300000000,14000000
2010/01/28,22300,-150,-0.67,22600,22750,21950,53020,1185298500,312200000000,14000000
2010/01/29,21150,-1150,-5.16,22000,22000,21000,81864,1752055400,296100000000,14000000
2010/02/01,21550,400,1.89,21150,21650,21000,38462,821484600,301700000000,14000000
2010/02/02,22400,850,3.94,21850,22400,21600,60065,1319277050,313600000000,14000000
2010/02/03,22650,250,1.12,22800,22950,22300,63962,1445529400,317100000000,14000000
2010/02/04,22350,-300,-1.32,22750,22750,22250,33469,749471200,312900000000,14000000
2010/02/05,21650,-700,-3.13,21100,21700,21100,61452,1313644950,303100000000,14000000
2010/02/08,21450,-200,-0.92,21650,21650,20800,67981,1440273450,300300000000,14000000
2010/02/09,21550,100,0.47,21350,21550,21100,33472,716026600,301700000000,14000000
2010/02/10,21750,200,0.93,21650,21850,21300,43177,933205250,304500000000,14000000
2010/02/11,21900,150,0.69,21750,22450,21750,32331,714068400,306600000000,14000000
2010/02/12,21350,-550,-2.51,21900,21900,21200,68701,1474790400,298900000000,14000000
2010/02/16,22050,700,3.28,21200,22400,21050,66455,1458380350,308700000000,14000000
2010/02/17,22150,100,0.45,22500,22850,22150,59283,1332070250,310100000000,14000000
2010/02/18,22150,0,0.00,22200,22500,22050,24546,546545400,310100000000,14000000
2010/02/19,21450,-700,-3.16,22100,22150,21450,30422,661940900,300300000000,14000000
2010/02/22,22150,700,3.26,21850,22350,21750,34739,768575500,310100000000,14000000
2010/02/23,22350,200,0.90,22050,22500,22050,30033,670740050,312900000000,14000000
2010/02/24,22200,-150,-0.67,22350,22600,22150,32596,729865700,310800000000,14000000
2010/02/25,22200,0,0.00,22300,22500,21950,41079,913288300,310800000000,14000000
2010/02/26,23500,1300,5.86,22250,23500,22000,71269,1633633400,329000000000,14000000
2010/03/02,23500,0,0.00,23500,23650,22900,69535,1617344900,329000000000,14000000
2010/03/03,23600,100,0.43,23300,23600,23100,53310,1248289500,330400000000,14000000
2010/03/04,23600,0,0.00,23600,23650,23000,42460,992881000,330400000000,14000000
2010/03/05,23900,300,1.27,23600,23950,23250,57152,1352291800,334600000000,14000000
2010/03/08,24000,100,0.42,23900,24200,23700,76555,1834701500,336000000000,14000000
2010/03/09,24000,0,0.00,23950,25300,23700,230241,5595237500,336000000000,14000000
2010/03/10,24000,0,0.00,24050,24350,23700,51703,1240134050,336000000000,14000000
2010/03/11,23900,-100,-0.42,24300,24300,23600,52524,1252056100,334600000000,14000000
2010/03/12,23900,0,0.00,23800,24150,23550,59730,1420605000,334600000000,14000000
2010/03/15,24000,100,0.42,24050,24100,23600,32960,788066000,336000000000,14000000
2010/03/16,23750,-250,-1.04,24050,24050,23750,19806,472387500,332500000000,14000000
2010/03/17,23350,-400,-1.68,23900,23950,23350,52881,1251829350,326900000000,14000000
2010/03/18,23450,100,0.43,23500,23800,23300,43538,1026047150,328300000000,14000000
2010/03/19,23900,450,1.92,23500,24000,23500,48876,1162985450,334600000000,14000000
2010/03/22,23900,0,0.00,23900,23900,23600,33596,798169900,334600000000,14000000
2010/03/23,24700,800,3.35,23900,24950,23750,132605,3249818500,345800000000,14000000
2010/03/24,24500,-200,-0.81,25000,25000,24450,42470,1046030000,343000000000,14000000
2010/03/25,25000,500,2.04,24500,25250,24400,205895,5106553000,350000000000,14000000
2010/03/26,25850,850,3.40,25000,25850,24800,184212,4683973750,361900000000,14000000
2010/03/29,25850,0,0.00,25600,26200,25400,101782,2626462200,361900000000,14000000
2010/03/30,26200,350,1.35,26000,26300,25300,144689,3754155300,366800000000,14000000
2010/03/31,27000,800,3.05,26300,27000,25750,109834,2903456100,378000000000,14000000
2010/04/01,27000,0,0.00,26700,27000,26400,103799,2774477750,378000000000,14000000
2010/04/02,27500,500,1.85,27000,27500,26700,146414,3974405000,385000000000,14000000
2010/04/05,27250,-250,-0.91,27500,27900,26700,121526,3319838750,381500000000,14000000
2010/04/06,26250,-1000,-3.67,27300,27300,26000,138959,3671144750,367500000000,14000000
2010/04/07,26250,0,0.00,26300,26700,26100,65325,1725580250,367500000000,14000000
2010/04/08,26650,400,1.52,26050,26650,25700,75933,1998006850,373100000000,14000000
2010/04/09,26650,0,0.00,26600,26750,26100,47203,1249200950,373100000000,14000000
2010/04/12,26350,-300,-1.13,26800,26850,26000,54503,1433099150,368900000000,14000000
2010/04/13,26100,-250,-0.95,26350,26350,25800,61902,1608350700,365400000000,14000000
2010/04/14,26250,150,0.57,26050,26450,25800,65544,1708335100,367500000000,14000000
2010/04/15,26450,200,0.76,26600,26600,26000,52066,1371076200,370300000000,14000000
2010/04/16,26150,-300,-1.13,26200,26450,25500,85003,2202239050,366100000000,14000000
2010/04/19,26000,-150,-0.57,25900,26000,25200,80183,2054066600,364000000000,14000000
2010/04/20,26300,300,1.15,25800,26800,25700,86902,2283631050,368200000000,14000000
2010/04/21,26300,0,0.00,26350,26450,26050,61955,1625110100,368200000000,14000000
2010/04/22,26200,-100,-0.38,26150,26500,25800,96687,2526116200,366800000000,14000000
2010/04/23,26950,750,2.86,26300,27200,26050,151745,4066664750,377300000000,14000000
2010/04/26,27000,50,0.19,27200,27350,26600,73213,1971453500,378000000000,14000000
2010/04/27,26750,-250,-0.93,27100,27100,26200,158663,4212703000,374500000000,14000000
2010/04/28,27000,250,0.93,26200,27000,25900,93525,2476478400,378000000000,14000000
2010/04/29,27000,0,0.00,27000,27450,26800,118330,3196383700,378000000000,14000000
2010/04/30,28500,1500,5.56,27200,28500,26850,198217,5489549000,399000000000,14000000
