일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2022/04/28,43450,1850,4.45,41600,45500,41000,184729,7963149100,91764270950,2111951
2022/04/29,44850,1400,3.22,43750,45250,43600,33628,1500331350,94721002350,2111951
2022/05/02,44300,-550,-1.23,44800,44800,43750,17659,782627600,93559429300,2111951
2022/05/03,42300,-2000,-4.51,43500,43650,42250,27285,1169057250,89335527300,2111951
2022/05/04,42800,500,1.18,42600,43100,42250,9533,407445600,90391502800,2111951
2022/05/06,42100,-700,-1.64,43050,43050,41200,8886,372404600,88913137100,2111951
2022/05/09,41000,-1100,-2.61,41800,41800,40650,11832,486720750,86589991000,2111951
2022/05/10,41000,0,0.00,40650,41450,39850,6816,273695400,86589991000,2111951
2022/05/11,41000,0,0.00,40400,41000,40000,4831,196647950,86589991000,2111951
2022/05/12,40300,-700,-1.71,41000,41100,40200,7641,310589300,85111625300,2111951
2022/05/13,40700,400,0.99,39900,41250,39900,2478,100835300,85956405700,2111951
2022/05/16,40200,-500,-1.23,40700,41000,40200,2428,98256400,84900430200,2111951
2022/05/17,40200,0,0.00,40200,41000,39950,2929,117383600,84900430200,2111951
2022/05/18,39650,-550,-1.37,41000,41000,39450,8399,334048550,83738857150,2111951
2022/05/19,38450,-1200,-3.03,39000,40200,38100,8710,334427900,81204515950,2111951
2022/05/20,38200,-250,-0.65,39750,39750,37800,12130,463378500,80676528200,2111951
2022/05/23,38000,-200,-0.52,38200,38200,37750,2711,102704700,80254138000,2111951
2022/05/24,38350,350,0.92,38900,38900,38200,5313,204213300,80993320850,2111951
2022/05/25,39300,950,2.48,38400,39500,38050,9126,355172600,82999674300,2111951
2022/05/26,39100,-200,-0.51,38800,39850,38800,1654,64674650,82577284100,2111951
2022/05/27,39500,400,1.02,39800,40000,39100,3265,129009900,83422064500,2111951
2022/05/30,40000,500,1.27,39600,40050,39600,1970,78705400,84478040000,2111951
2022/05/31,40200,200,0.50,40000,40550,39700,6343,254616950,84900430200,2111951
2022/06/02,39150,-1050,-2.61,40200,40300,39050,3359,132437200,82682881650,2111951
2022/06/03,39300,150,0.38,39250,39450,38800,3314,129834000,82999674300,2111951
2022/06/07,38400,-900,-2.29,39300,39300,38000,3067,118534000,81098918400,2111951
2022/06/08,38350,-50,-0.13,38350,39900,38200,1893,72708150,80993320850,2111951
2022/06/09,38250,-100,-0.26,38350,38600,37950,2223,84690900,80782125750,2111951
2022/06/10,38650,400,1.05,38150,39000,38100,2357,90971700,81626906150,2111951
2022/06/13,37300,-1350,-3.49,37700,39200,36900,5133,192654350,78775772300,2111951
2022/06/14,37000,-300,-0.80,36400,37250,36000,4929,179570200,78142187000,2111951
2022/06/15,36250,-750,-2.03,37800,37800,35800,4525,163862950,76558223750,2111951
2022/06/16,36000,-250,-0.69,37850,37850,36000,3082,112101900,76030236000,2111951
2022/06/17,35850,-150,-0.42,34450,36000,34450,4844,171349700,75713443350,2111951
2022/06/20,34850,-1000,-2.79,35900,35900,33950,4746,162866400,73601492350,2111951
2022/06/21,34850,0,0.00,35000,35450,34250,4038,140531750,73601492350,2111951
2022/06/22,33650,-1200,-3.44,34850,34850,33600,4145,141142700,71067151150,2111951
2022/06/23,32900,-750,-2.23,33650,33650,32400,3635,119369750,69483187900,2111951
2022/06/24,34200,1300,3.95,33250,35000,32900,1966,66353200,72228724200,2111951
2022/06/27,34900,700,2.05,34900,35500,33500,3053,105155050,73707089900,2111951
2022/06/28,34900,0,0.00,35300,35350,34400,1792,62797350,73707089900,2111951
2022/06/29,34850,-50,-0.14,34900,35150,34000,2115,73175050,73601492350,2111951
2022/06/30,35150,300,0.86,34850,35750,34600,7829,274294000,74235077650,2111951
2022/07/01,35400,250,0.71,35150,36900,34600,5750,204296750,74763065400,2111951
2022/07/04,34250,-1150,-3.25,35400,35400,33750,2005,69038450,72334321750,2111951
2022/07/05,34250,0,0.00,33900,34850,33900,3101,106638300,72334321750,2111951
2022/07/06,33750,-500,-1.46,34900,34900,33750,1203,40999650,71278346250,2111951
2022/07/07,34150,400,1.19,33750,34300,33750,2136,73000950,72123126650,2111951
2022/07/08,34250,100,0.29,34500,34500,34050,2450,84008300,72334321750,2111951
2022/07/11,34200,-50,-0.15,34300,34450,33800,1042,35601050,72228724200,2111951
2022/07/12,33600,-600,-1.75,33800,34450,33250,1194,40261950,70961553600,2111951
2022/07/13,33500,-100,-0.30,33550,33900,33200,1309,44010450,70750358500,2111951
2022/07/14,33300,-200,-0.60,33500,33850,33250,942,31631600,70327968300,2111951
2022/07/15,33250,-50,-0.15,34900,34950,33050,1021,34156550,70222370750,2111951
2022/07/18,33600,350,1.05,33400,34000,31750,1559,52135400,70961553600,2111951
2022/07/19,33800,200,0.60,33600,34050,32550,986,32956950,71383943800,2111951
2022/07/20,34000,200,0.59,34150,34200,33550,2465,83335750,71806334000,2111951
2022/07/21,34200,200,0.59,34450,34450,33750,1163,39790450,72228724200,2111951
2022/07/22,34000,-200,-0.58,34000,34300,33950,637,21726500,71806334000,2111951
2022/07/25,33750,-250,-0.74,33650,34150,33650,1026,34653650,71278346250,2111951
2022/07/26,33900,150,0.44,33750,34000,33600,812,27489200,71595138900,2111951
2022/07/27,34000,100,0.29,33550,34000,33500,769,25981700,71806334000,2111951
2022/07/28,33700,-300,-0.88,34200,34300,33300,2493,84947600,71172748700,2111951
2022/07/29,33900,200,0.59,33900,33950,33700,2073,70000600,71595138900,2111951
2022/08/01,33750,-150,-0.44,33000,34000,33000,1307,44289250,71278346250,2111951
2022/08/02,33900,150,0.44,34400,34400,33700,1152,39036750,71595138900,2111951
2022/08/03,33900,0,0.00,33850,33950,33750,1422,48171200,71595138900,2111951
2022/08/04,33900,0,0.00,34400,34400,33750,2620,88768700,71595138900,2111951
2022/08/05,34000,100,0.29,34000,34700,33850,11530,394013600,71806334000,2111951
2022/08/08,34400,400,1.18,34000,34550,33850,2336,79743650,72651114400,2111951
2022/08/09,34400,0,0.00,34400,34600,32900,2435,83558750,72651114400,2111951
2022/08/10,34700,300,0.87,34700,35000,34600,4414,153619350,73284699700,2111951
2022/08/11,34850,150,0.43,35050,35050,34850,1696,59197100,73601492350,2111951
2022/08/12,35700,850,2.44,34850,35900,34850,3009,106795700,75396650700,2111951
2022/08/16,35400,-300,-0.84,35750,35850,35400,1315,46722150,74763065400,2111951
2022/08/17,35000,-400,-1.13,35200,35400,35000,2361,82956300,73918285000,2111951
2022/08/18,34800,-200,-0.57,34750,34900,34500,1338,46542350,73495894800,2111951
2022/08/19,34800,0,0.00,35000,35600,34000,1173,41055000,73495894800,2111951
2022/08/22,34000,-800,-2.30,34000,34400,34000,1282,43745900,71806334000,2111951
2022/08/23,33700,-300,-0.88,33600,33950,33300,1376,46110550,71172748700,2111951
2022/08/24,33950,250,0.74,33900,33950,33550,1179,39697950,71700736450,2111951
2022/08/25,33850,-100,-0.29,33950,34050,33850,1141,38731400,71489541350,2111951
2022/08/26,33950,100,0.30,33850,34400,33800,1101,37446400,71700736450,2111951
2022/08/29,33100,-850,-2.50,33750,33750,32950,1223,40482700,69905578100,2111951
2022/08/30,33300,200,0.60,32650,33950,32650,883,29678550,70327968300,2111951
2022/08/31,33850,550,1.65,33300,34000,33300,563,18997700,71489541350,2111951
2022/09/01,34100,250,0.74,33850,34150,33000,1450,48928000,72017529100,2111951
2022/09/02,34400,300,0.88,34300,34800,34100,2213,76603000,72651114400,2111951
2022/09/05,34450,50,0.15,35050,35050,33950,588,20189950,72756711950,2111951
2022/09/06,34350,-100,-0.29,34650,34650,34000,652,22454650,72545516850,2111951
2022/09/07,33950,-400,-1.16,34150,35150,33350,594,20372850,71700736450,2111951
2022/09/08,34000,50,0.15,34500,34500,33650,555,18754350,71806334000,2111951
2022/09/13,34050,50,0.15,34450,34450,33950,992,33784300,71911931550,2111951
2022/09/14,33750,-300,-0.88,33850,33950,32500,646,21489000,71278346250,2111951
2022/09/15,33700,-50,-0.15,33800,34100,33600,563,19018700,71172748700,2111951
2022/09/16,33050,-650,-1.93,33050,33650,33000,1141,37859800,69799980550,2111951
2022/09/19,32500,-550,-1.66,33100,33100,32500,915,30092450,68638407500,2111951
2022/09/20,33100,600,1.85,32650,33500,32500,1840,60866500,69905578100,2111951
2022/09/21,33200,100,0.30,32950,33450,32800,1220,40493900,70116773200,2111951
2022/09/22,32350,-850,-2.56,32300,32900,31950,1799,57842850,68321614850,2111951
2022/09/23,31100,-1250,-3.86,32350,32400,31100,1589,50416050,65681676100,2111951
2022/09/26,29700,-1400,-4.50,30900,30900,29300,2876,86051400,62724944700,2111951
2022/09/27,29450,-250,-0.84,29450,29700,28750,2978,86858900,62196956950,2111951
2022/09/28,28600,-850,-2.89,29600,29600,28500,1989,57458600,60401798600,2111951
2022/09/29,28600,0,0.00,28750,30350,28600,1294,37556750,60401798600,2111951
2022/09/30,27700,-900,-3.15,28000,28400,27450,3927,109572650,58501042700,2111951
2022/10/04,28450,750,2.71,27600,28500,27600,3561,101067900,60085005950,2111951
2022/10/05,27800,-650,-2.28,28450,28450,27700,3336,92932500,58712237800,2111951
2022/10/06,28400,600,2.16,27650,28500,27350,3020,84256300,59979408400,2111951
2022/10/07,28450,50,0.18,28500,28500,27750,672,19108400,60085005950,2111951
2022/10/11,27450,-1000,-3.51,27400,27950,27000,1573,43455100,57973054950,2111951
2022/10/12,27600,150,0.55,27450,27600,26950,2364,64448450,58289847600,2111951
2022/10/13,26350,-1250,-4.53,27600,27600,26350,2182,58208700,55649908850,2111951
2022/10/14,27150,800,3.04,26350,27350,26350,4333,117388400,57339469650,2111951
2022/10/17,26850,-300,-1.10,26650,27400,26650,390,10497050,56705884350,2111951
2022/10/18,28350,1500,5.59,26950,28500,26900,3849,107970150,59873810850,2111951
2022/10/19,27450,-900,-3.17,27850,28500,27450,3777,106293500,57973054950,2111951
2022/10/20,27800,350,1.28,27450,27800,26500,1616,43693550,58712237800,2111951
2022/10/21,27250,-550,-1.98,26750,27700,26600,1015,27284700,57550664750,2111951
2022/10/24,27750,500,1.83,27350,28300,27350,2867,80034150,58606640250,2111951
2022/10/25,27700,-50,-0.18,27800,27800,27250,1700,46980200,58501042700,2111951
2022/10/26,26950,-750,-2.71,27100,27400,26750,1712,46213050,56917079450,2111951
2022/10/27,27500,550,2.04,26500,28500,26500,2161,58586050,58078652500,2111951
2022/10/28,27500,0,0.00,27500,27900,27200,1246,34387500,58078652500,2111951
2022/10/31,27150,-350,-1.27,27300,27900,27050,2166,59318400,57339469650,2111951
2022/11/01,27350,200,0.74,27150,27550,26700,1480,40434550,57761859850,2111951
2022/11/02,27500,150,0.55,27150,27600,27150,865,23649050,58078652500,2111951
2022/11/03,27400,-100,-0.36,27050,27500,27000,1504,40750850,57867457400,2111951
2022/11/04,27400,0,0.00,27500,27500,27050,1127,30764450,57867457400,2111951
2022/11/07,28250,850,3.10,27500,28300,27400,2056,57261900,59662615750,2111951
2022/11/08,28250,0,0.00,27750,28550,27750,2565,72618600,59662615750,2111951
2022/11/09,28250,0,0.00,28450,28450,27750,1756,49333450,59662615750,2111951
2022/11/10,28000,-250,-0.88,27800,28350,27650,1060,29816550,59134628000,2111951
2022/11/11,28800,800,2.86,28500,28850,28350,3940,112674350,60824188800,2111951
2022/11/14,28700,-100,-0.35,28800,29150,28500,941,27149300,60612993700,2111951
2022/11/15,29250,550,1.92,29000,29250,28600,1511,43665900,61774566750,2111951
2022/11/16,29250,0,0.00,28950,29350,28950,2390,69745650,61774566750,2111951
2022/11/17,28850,-400,-1.37,29300,29450,28750,1726,49917150,60929786350,2111951
2022/11/18,29150,300,1.04,29000,29550,28850,4007,117379900,61563371650,2111951
2022/11/21,28900,-250,-0.86,28800,29150,28750,609,17596150,61035383900,2111951
2022/11/22,29500,600,2.08,28900,29650,28700,5587,163037300,62302554500,2111951
2022/11/23,29450,-50,-0.17,29750,29750,28900,2143,62989800,62196956950,2111951
2022/11/24,29450,0,0.00,29250,29450,29150,2132,62396500,62196956950,2111951
2022/11/25,29250,-200,-0.68,29000,29650,29000,2222,64864300,61774566750,2111951
2022/11/28,28950,-300,-1.03,28950,29300,28650,2015,58280400,61140981450,2111951
2022/11/29,28850,-100,-0.35,28950,29000,28550,2971,85473350,60929786350,2111951
2022/11/30,29450,600,2.08,28850,29600,28850,2617,76515500,62196956950,2111951
2022/12/01,29750,300,1.02,29700,30200,29550,3639,109081550,62830542250,2111951
2022/12/02,29650,-100,-0.34,29300,29950,29300,1788,52945050,62619347150,2111951
2022/12/05,29550,-100,-0.34,29700,29850,29300,1603,47189500,62408152050,2111951
2022/12/06,29150,-400,-1.35,29650,29650,29150,693,20316850,61563371650,2111951
2022/12/07,28700,-450,-1.54,28850,29000,28450,721,20695150,60612993700,2111951
