일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/01/23","9540","110","1.17","9470","9540","9380","81919","778329369","573427171800","60107670"
"2024/01/22","9430","-70","-0.74","9570","9570","9390","61855","585948120","566815328100","60107670"
"2024/01/19","9500","420","4.63","9200","9550","9120","131621","1243868370","571022865000","60107670"
"2024/01/18","9080","-100","-1.09","9190","9330","9050","79468","724321780","545777643600","60107670"
"2024/01/17","9180","-100","-1.08","9280","9410","9160","124389","1152738450","551788410600","60107670"
"2024/01/16","9280","-460","-4.72","9740","9740","9250","85856","811931690","557799177600","60107670"
"2024/01/15","9740","280","2.96","9520","9790","9450","124028","1198721040","585448705800","60107670"
"2024/01/12","9460","240","2.60","9250","9510","9230","64008","602627730","568618558200","60107670"
"2024/01/11","9220","-140","-1.50","9360","9450","9170","51659","478425380","554192717400","60107670"
"2024/01/10","9360","-60","-0.64","9360","9520","9300","34246","322260790","562607791200","60107670"
"2024/01/09","9420","0","0.00","9530","9530","9400","31207","294374340","566214251400","60107670"
"2024/01/08","9420","0","0.00","9520","9560","9360","33004","312283570","566214251400","60107670"
"2024/01/05","9420","330","3.63","9150","9570","9150","136358","1284335300","566214251400","60107670"
"2024/01/04","9090","10","0.11","9170","9180","9000","49189","447299460","546378720300","60107670"
"2024/01/03","9080","-100","-1.09","9180","9240","9050","79049","721410520","545777643600","60107670"
"2024/01/02","9180","-290","-3.06","9470","9470","9160","78704","728792470","551788410600","60107670"
"2023/12/28","9470","140","1.50","9340","9480","9290","17583","165921610","569219634900","60107670"
"2023/12/27","9330","-220","-2.30","9360","9450","9300","76618","716306580","560804561100","60107670"
"2023/12/26","9550","-250","-2.55","9800","9800","9530","92403","889120860","574028248500","60107670"
"2023/12/22","9800","60","0.62","9830","9860","9670","122670","1198312550","589055166000","60107670"
"2023/12/21","9740","20","0.21","9710","9820","9670","105546","1027377560","585448705800","60107670"
"2023/12/20","9720","210","2.21","9550","9720","9510","72974","703208410","584246552400","60107670"
"2023/12/19","9510","80","0.85","9430","9600","9410","50889","483957250","571623941700","60107670"
"2023/12/18","9430","-140","-1.46","9570","9640","9300","155930","1469735680","572540752600","60714820"
"2023/12/15","9570","150","1.59","9410","9570","9400","69991","663933160","581040827400","60714820"
"2023/12/14","9420","-80","-0.84","9510","9560","9380","77397","732181170","571933604400","60714820"
"2023/12/13","9500","20","0.21","9480","9560","9440","89610","851415300","576790790000","60714820"
"2023/12/12","9480","-20","-0.21","9500","9530","9430","57467","545192860","575576493600","60714820"
"2023/12/11","9500","20","0.21","9490","9530","9360","77119","730489350","576790790000","60714820"
"2023/12/08","9480","70","0.74","9470","9540","9350","81181","769728850","575576493600","60714820"
"2023/12/07","9410","-10","-0.11","9460","9520","9280","110568","1042688480","571326456200","60714820"
"2023/12/06","9420","120","1.29","9430","9460","9240","79048","739459100","571933604400","60714820"
"2023/12/05","9300","-100","-1.06","9400","9510","9250","162358","1528317160","564647826000","60714820"
"2023/12/04","9400","170","1.84","9230","9500","9180","214244","2014176004","570719308000","60714820"
"2023/12/01","9230","240","2.67","9010","9290","9010","189587","1746213320","560397788600","60714820"
"2023/11/30","8990","-90","-0.99","9080","9100","8970","106085","957863580","545826231800","60714820"
"2023/11/29","9080","-30","-0.33","9110","9240","9000","210302","1904772510","551290565600","60714820"
"2023/11/28","9110","70","0.77","8980","9110","8960","133407","1207281090","553112010200","60714820"
