일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/01/23","2590","5","0.19","2585","2660","2530","107631","277820550","199155931380","76894182"
"2024/01/22","2585","-45","-1.71","2650","2650","2535","174587","449692960","198771460470","76894182"
"2024/01/19","2630","-55","-2.05","2685","2705","2630","110435","293774925","202231698660","76894182"
"2024/01/18","2685","25","0.94","2625","2705","2610","91436","243558055","206460878670","76894182"
"2024/01/17","2660","-25","-0.93","2695","2740","2560","173341","452738815","204538524120","76894182"
"2024/01/16","2685","0","0.00","2685","2780","2640","113554","304008150","206460878670","76894182"
"2024/01/15","2685","-5","-0.19","2690","2765","2635","107616","289883535","206460878670","76894182"
"2024/01/12","2690","-115","-4.10","2795","2795","2665","176364","477651135","206845349580","76894182"
"2024/01/11","2805","-75","-2.60","2850","2880","2785","129312","364556675","215688180510","76894182"
"2024/01/10","2880","-70","-2.37","2910","2940","2840","108905","314819685","221455244160","76894182"
"2024/01/09","2950","75","2.61","2875","2950","2875","96134","282257135","226837836900","76894182"
"2024/01/08","2875","-25","-0.86","2900","2935","2850","123117","356518970","221070773250","76894182"
"2024/01/05","2900","-25","-0.85","2925","2995","2865","88068","255816515","222993127800","76894182"
"2024/01/04","2925","-110","-3.62","3025","3030","2880","164943","482531530","224915482350","76894182"
"2024/01/03","3035","45","1.51","2920","3090","2750","226084","683135525","233373842370","76894182"
"2024/01/02","2990","215","7.75","2760","3000","2740","320001","922666660","229913604180","76894182"
"2023/12/28","2775","90","3.35","2705","2785","2670","81909","224180800","213381355050","76894182"
"2023/12/27","2685","-20","-0.74","2685","2750","2600","245117","656459805","206460878670","76894182"
"2023/12/26","2705","-65","-2.35","2750","2835","2700","174965","482078570","207998762310","76894182"
"2023/12/22","2770","70","2.59","2705","2820","2620","161813","442062620","212996884140","76894182"
"2023/12/21","2700","-110","-3.91","2830","2830","2650","211756","573144645","207614291400","76894182"
"2023/12/20","2810","290","11.51","2495","2810","2495","565988","1530311870","216072651420","76894182"
"2023/12/19","2520","20","0.80","2500","2545","2460","73581","184321295","193773338640","76894182"
"2023/12/18","2500","-5","-0.20","2505","2545","2480","97491","244299480","192235455000","76894182"
"2023/12/15","2505","-15","-0.60","2520","2595","2505","84528","214117375","192619925910","76894182"
"2023/12/14","2520","0","0.00","2545","2590","2520","79271","202531065","193773338640","76894182"
"2023/12/13","2520","-80","-3.08","2570","2595","2520","119929","307016050","193773338640","76894182"
