일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2010/01/04,9240,-180,-1.91,9390,9490,9140,57583,533781320,689862428640,74660436
2010/01/05,8920,-320,-3.46,9130,9290,8920,112029,1011526380,665971089120,74660436
2010/01/06,8820,-100,-1.12,8920,9070,8770,106079,943845780,658505045520,74660436
2010/01/07,8800,-20,-0.23,8820,8980,8730,76705,677742600,657011836800,74660436
2010/01/08,8840,40,0.45,8790,9010,8770,40103,355976660,659998254240,74660436
2010/01/11,9010,170,1.92,9000,9090,8900,46791,421108320,672690528360,74660436
2010/01/12,8970,-40,-0.44,9000,9000,8830,25930,231715500,669704110920,74660436
2010/01/13,9050,80,0.89,8870,9050,8870,57600,516080800,675676945800,74660436
2010/01/14,8910,-140,-1.55,9000,9100,8850,79595,710231250,665224484760,74660436
2010/01/15,8900,-10,-0.11,8910,9000,8800,59024,522950400,664477880400,74660436
2010/01/18,8800,-100,-1.12,8890,8890,8730,55661,490399550,657011836800,74660436
2010/01/19,8800,0,0.00,8770,8840,8750,28189,247694400,657011836800,74660436
2010/01/20,8700,-100,-1.14,8800,8880,8680,83991,732958900,649545793200,74660436
2010/01/21,8660,-40,-0.46,8680,9150,8660,90678,798196780,646559375760,74660436
2010/01/22,8350,-310,-3.58,8780,8780,8300,118626,1003002300,623414640600,74660436
2010/01/25,8060,-290,-3.47,8280,8340,8050,162155,1317842700,601763114160,74660436
2010/01/26,8020,-40,-0.50,8080,8170,8010,73490,592901700,598776696720,74660436
2010/01/27,8020,0,0.00,8020,8140,7910,67249,538701080,598776696720,74660436
2010/01/28,8060,40,0.50,7990,8200,7970,48803,393630580,601763114160,74660436
2010/01/29,7850,-210,-2.61,8000,8040,7710,59962,471360200,586084422600,74660436
2010/02/01,7790,-60,-0.76,7720,7910,7720,37306,292480840,581604796440,74660436
2010/02/02,7880,90,1.16,7810,8100,7750,61992,492374160,588324235680,74660436
2010/02/03,8110,230,2.92,7910,8140,7910,56400,451849800,605496135960,74660436
2010/02/04,8030,-80,-0.99,8030,8110,7910,40000,319028220,599523301080,74660436
