일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2017/12/08,194000,44500,29.77,149500,194000,149500,68343,12189206568,3353077764000,17283906
2017/12/11,248500,54500,28.09,222000,249000,214000,684631,160186815000,4295050641000,17283906
2017/12/12,235000,-13500,-5.43,242500,246500,222500,286513,67444450500,4061717910000,17283906
2017/12/13,235000,0,0.00,235000,242500,228000,94609,22079908000,4061717910000,17283906
2017/12/14,234000,-1000,-0.43,236000,236500,221500,118532,27249742000,4044434004000,17283906
2017/12/15,236500,2500,1.07,230000,242000,230000,63106,14945257500,4087643769000,17283906
2017/12/18,238000,1500,0.63,240000,240000,233000,25868,6136088500,4113569628000,17283906
2017/12/19,227000,-11000,-4.62,237000,238000,225500,37388,8574573000,3923446662000,17283906
2017/12/20,225500,-1500,-0.66,225500,227500,222500,43299,9740898000,3897520803000,17283906
2017/12/21,220500,-5000,-2.22,225000,226000,220500,48028,10714094631,3811101273000,17283906
2017/12/22,219500,-1000,-0.45,224500,224500,217000,21824,4812876000,3793817367000,17283906
2017/12/26,219000,-500,-0.23,217500,221500,215000,19031,4145330500,3785175414000,17283906
2017/12/27,212500,-6500,-2.97,216000,218500,209000,19265,4083917500,3672830025000,17283906
2017/12/28,210000,-2500,-1.18,210500,213000,209500,28678,6032219000,3629620260000,17283906
2018/01/02,210500,500,0.24,212500,212500,208500,43076,9043093762,3638262213000,17283906
2018/01/03,202500,-8000,-3.80,205500,208500,201500,39089,7951270500,3499990965000,17283906
2018/01/04,200500,-2000,-0.99,203000,203500,200500,49743,10017998956,3465423153000,17283906
2018/01/05,200000,-500,-0.25,202500,202500,196500,29452,5887151500,3456781200000,17283906
2018/01/08,199000,-1000,-0.50,200000,201000,199000,26055,5205333632,3439497294000,17283906
2018/01/09,206000,7000,3.52,199000,207000,195500,38911,7813739064,3560484636000,17283906
2018/01/10,210500,4500,2.18,207000,211500,203500,42692,8917450315,3638262213000,17283906
2018/01/11,208500,-2000,-0.95,212000,213000,204000,46884,9808069008,3603694401000,17283906
2018/01/12,201500,-7000,-3.36,209000,209500,200500,42666,8663980000,3482707059000,17283906
2018/01/15,206000,4500,2.23,202000,208000,199000,28168,5767673500,3560484636000,17283906
2018/01/16,210000,4000,1.94,206000,211000,205500,32777,6849717528,3629620260000,17283906
2018/01/17,218000,8000,3.81,208000,219500,208000,30967,6703731500,3767891508000,17283906
2018/01/18,221000,3000,1.38,215500,221000,213500,15647,3408162000,3819743226000,17283906
2018/01/19,215000,-6000,-2.71,217500,221500,215000,10446,2273504500,3716039790000,17283906
2018/01/22,209000,-6000,-2.79,218000,218000,206000,25762,5363211000,3612336354000,17283906
2018/01/23,214000,5000,2.39,207000,214500,207000,17581,3724573500,3698755884000,17283906
2018/01/24,219000,5000,2.34,214000,221500,212500,18102,3958443000,3785175414000,17283906
2018/01/25,218500,-500,-0.23,215000,219000,214500,16113,3512510500,3776533461000,17283906
2018/01/26,220000,1500,0.69,216500,227000,216500,22580,5039460500,3802459320000,17283906
2018/01/29,227000,7000,3.18,220000,227500,220000,31219,7067956500,3923446662000,17283906
2018/01/30,217500,-9500,-4.19,228500,232000,217000,32415,7136665500,3759249555000,17283906
2018/01/31,220000,2500,1.15,217500,220000,212500,42255,9132438500,3802459320000,17283906
2018/02/01,218000,-2000,-0.91,220000,221000,216000,14143,3085648500,3767891508000,17283906
2018/02/02,214000,-4000,-1.83,218000,221000,213000,17661,3812072500,3698755884000,17283906
2018/02/05,212000,-2000,-0.93,218000,221000,210000,24307,5169440500,3664188072000,17283906
2018/02/06,209500,-2500,-1.18,211500,213500,205000,31337,6561052000,3620978307000,17283906
2018/02/07,206500,-3000,-1.43,209000,210500,206500,26237,5452774000,3569126589000,17283906
2018/02/08,206000,-500,-0.24,203500,209500,203500,21050,4335514500,3560484636000,17283906
2018/02/09,210500,4500,2.18,204000,211500,202000,28746,5957768000,3638262213000,17283906
2018/02/12,210500,0,0.00,209000,211500,206500,12513,2613107000,3638262213000,17283906
2018/02/13,199000,-11500,-5.46,209000,211000,197000,41843,8479194000,3439497294000,17283906
2018/02/14,187000,-12000,-6.03,201000,201500,182500,143124,26780003500,3232090422000,17283906
2018/02/19,188000,1000,0.53,191000,191000,186500,26245,4931843500,3249374328000,17283906
2018/02/20,186000,-2000,-1.06,186000,187500,184500,72152,13443973500,3214806516000,17283906
2018/02/21,187000,1000,0.54,188000,188000,185000,34023,6360317500,3232090422000,17283906
2018/02/22,178000,-9000,-4.81,186000,186000,178000,56556,10234534411,3076535268000,17283906
2018/02/23,178000,0,0.00,178000,180500,172500,103525,18173039002,3076535268000,17283906
2018/02/26,172000,-6000,-3.37,180000,180000,170500,68871,11922457000,2972831832000,17283906
2018/02/27,170000,-2000,-1.16,172000,174500,168000,58047,9894091500,2938264020000,17283906
2018/02/28,174000,4000,2.35,170000,174500,169000,47346,8171559500,3007399644000,17283906
2018/03/02,169000,-5000,-2.87,171000,172500,167000,42902,7262101500,2920980114000,17283906
2018/03/05,167000,-2000,-1.18,168500,173000,166000,32831,5533720500,2886412302000,17283906
2018/03/06,161500,-5500,-3.29,168000,171000,161000,49441,8092864000,2791350819000,17283906
2018/03/07,157000,-4500,-2.79,162000,163000,154500,73222,11565575250,2713573242000,17283906
2018/03/08,158500,1500,0.96,157000,161000,156500,45232,7196196000,2739499101000,17283906
2018/03/09,163500,5000,3.15,158500,166000,158500,113100,18521565760,2825918631000,17283906
2018/03/12,167500,4000,2.45,164500,170000,163500,60143,10111210500,2895054255000,17283906
2018/03/13,168500,1000,0.60,165000,169500,162000,67916,11186195500,2912338161000,17283906
2018/03/14,164500,-4000,-2.37,165500,168500,163000,32816,5403881000,2843202537000,17283906
2018/03/15,167500,3000,1.82,164000,169500,161500,42601,7053866000,2895054255000,17283906
2018/03/16,169500,2000,1.19,167500,170500,166000,29903,5038722500,2929622067000,17283906
2018/03/19,164000,-5500,-3.24,170000,170000,163500,17328,2861616000,2834560584000,17283906
2018/03/20,162500,-1500,-0.91,162000,165500,161500,37351,6088920000,2808634725000,17283906
2018/03/21,163000,500,0.31,162000,164000,161500,45677,7419687000,2817276678000,17283906
2018/03/22,165500,2500,1.53,162500,167500,162500,35416,5845675500,2860486443000,17283906
2018/03/23,161500,-4000,-2.42,164000,165000,160000,37074,6004914000,2791350819000,17283906
2018/03/26,155500,-6000,-3.72,161500,162500,152500,55806,8743945500,2687647383000,17283906
2018/03/27,155000,-500,-0.32,156000,158500,150500,59085,9114333500,2679005430000,17283906
2018/03/28,154500,-500,-0.32,155000,158500,152500,25435,3917377000,2670363477000,17283906
2018/03/29,152500,-2000,-1.29,153500,161000,152500,40141,6258166000,2635795665000,17283906
2018/03/30,169000,16500,10.82,155000,170000,153500,64701,10581128500,2920980114000,17283906
2018/04/02,169500,500,0.30,170000,170000,164000,36758,6129760500,2929622067000,17283906
2018/04/03,179000,9500,5.60,169500,186000,167000,106031,19043222500,3093819174000,17283906
2018/04/04,176500,-2500,-1.40,178000,183000,176500,51757,9283719000,3050609409000,17283906
2018/04/05,171500,-5000,-2.83,176500,180000,170500,31697,5482883500,2964189879000,17283906
2018/04/06,174500,3000,1.75,171000,175000,168500,20944,3597156500,3016041597000,17283906
2018/04/09,186500,12000,6.88,172500,191000,169500,42051,7764389500,3223448469000,17283906
2018/04/10,178000,-8500,-4.56,183500,184000,177500,39175,7033318500,3076535268000,17283906
